date,open,high,low,close,volume,average,barCount
2021-04-01,123.64,124.18,122.49,123.0,58137244.0,123.161,244733
2021-04-05,123.76,126.17,123.07,125.9,69453178.0,125.299,289182
2021-04-06,126.53,127.13,125.65,126.21,62835714.0,126.386,260898
2021-04-07,125.82,127.92,125.14,127.9,67044483.0,127.046,275540
2021-04-08,128.91,130.39,128.52,130.36,70628003.0,129.701,298562
2021-04-09,129.9,133.04,129.47,133.0,84153759.0,131.592,338968
2021-04-12,132.57,132.85,130.63,131.24,68274552.0,131.545,271540
2021-04-13,132.51,134.66,131.93,134.43,70853319.0,133.706,281730
2021-04-14,134.94,135.0,131.65,132.03,67369285.0,133.102,284853
2021-04-15,133.85,135.0,133.64,134.5,66090815.0,134.391,274830
2021-04-16,134.3,134.67,133.28,134.16,60207331.0,134.001,229818
2021-04-19,133.47,135.47,133.34,134.84,65597868.0,134.559,275305
2021-04-20,135.02,135.53,131.81,133.11,76491385.0,133.46,325443
2021-04-21,132.39,133.75,131.3,133.5,54497737.0,132.799,234498
2021-04-22,133.04,134.15,131.41,131.94,67240240.0,132.86,291849
2021-04-23,132.19,135.12,132.16,134.32,61914208.0,134.152,257913
2021-04-26,134.83,135.06,133.56,134.72,49671851.0,134.515,207120
2021-04-27,135.04,135.41,134.11,134.39,52652315.0,134.592,216893
2021-04-28,134.35,135.01,133.08,133.58,71481700.0,134.036,300782
2021-04-29,136.47,137.07,132.45,133.48,120437492.0,134.136,497374
2021-04-30,131.81,133.56,131.06,131.46,75109257.0,132.333,325291
2021-05-03,132.01,134.07,131.83,132.54,59847366.0,132.854,266025
2021-05-04,131.18,131.49,126.7,127.85,105306503.0,127.852,471762
2021-05-05,129.21,130.45,127.97,128.1,67148330.0,129.333,299137
2021-05-06,127.9,129.75,127.13,129.74,61573353.0,128.518,288086
2021-05-07,130.86,131.26,129.47,130.21,56575813.0,130.45,258232
2021-05-10,129.4,129.54,126.81,126.85,65338185.0,127.958,294984
2021-05-11,123.5,126.27,122.77,125.91,89259026.0,124.82,412609
2021-05-12,123.52,124.64,122.25,122.77,83787655.0,123.084,394099
