date,open,high,low,close,volume,average,barCount
2021-04-01,155.9,158.12,155.78,158.05,19787700.0,156.90955,7272
2021-04-05,158.65,161.8,158.06,161.34,22410380.0,160.4343,7727
2021-04-06,161.11,162.37,160.85,161.19,17618860.0,161.6757,6001
2021-04-07,161.63,165.18,161.18,163.97,25134060.0,163.82345,8591
2021-04-08,165.46,166.23,164.6,164.97,20350860.0,165.55435,6965
2021-04-09,165.15,168.61,164.45,168.61,31347840.0,167.05965,11060
2021-04-12,167.76,169.75,167.56,168.97,23509900.0,168.7067,8094
2021-04-13,170.08,171.6,169.78,170.0,24481060.0,170.82335,8051
2021-04-14,170.2,170.21,166.3,166.65,19694320.0,168.00045,6735
2021-04-15,168.55,169.85,167.6,168.95,22129760.0,168.7672,7703
2021-04-16,168.98,170.34,167.78,169.97,24416500.0,169.43205,8029
2021-04-19,169.52,171.8,168.01,168.6,19451740.0,169.45805,6548
2021-04-20,168.61,169.15,165.8,166.73,18594980.0,167.0643,6377
2021-04-21,165.8,168.14,165.19,168.1,14531900.0,167.01605,5096
2021-04-22,168.65,168.65,165.07,165.45,19490140.0,166.8259,6845
2021-04-23,165.96,168.75,165.43,167.04,21724020.0,167.2755,7294
2021-04-26,167.51,171.42,166.55,170.45,47131180.0,169.62465,12978
2021-04-27,172.17,173.0,169.9,170.87,30042780.0,171.25845,8698
2021-04-28,171.66,174.49,171.25,172.93,41942080.0,173.3885,12564
2021-04-29,175.2,175.72,171.75,173.57,53246720.0,173.789,15812
2021-04-30,176.33,177.7,173.13,173.37,54574260.0,175.40145,18954
2021-05-03,174.24,174.33,168.64,169.32,51176000.0,171.068,15706
2021-05-04,167.49,168.4,163.61,165.59,43648940.0,165.57845,15343
2021-05-05,166.94,167.73,163.22,163.53,27158140.0,165.26275,9072
2021-05-06,163.5,165.72,162.36,165.32,36414980.0,164.09575,12062
2021-05-07,166.07,166.54,164.45,164.58,42727060.0,165.35465,13422
2021-05-10,164.12,164.15,159.5,159.52,54907400.0,161.16265,14628
