date,open,high,low,close,volume,average,barCount
2021-04-01,0.14990298,0.15012522,0.14169586,0.14169586,1.0,0.150125220892427,0
2021-04-05,0.14315631,0.14461677,0.14056877,0.14136249,1.0,0.1446167666627905,0
2021-04-06,0.14171173,0.14409291,0.13923531,0.13987029,1.0,0.1440929079031997,0
2021-04-07,0.13977504,0.13977504,0.13558417,0.13567942,1.0,0.1397750417635423,0
2021-04-08,0.1353778,0.13677476,0.13383798,0.13425071,1.0,0.1367747597767951,0
2021-04-09,0.1331395,0.1362509,0.12798028,0.128901,1.0,0.1362509010172043,0
2021-04-12,0.13013922,0.13742561,0.13013922,0.13499681,1.0,0.137425614599317,0
2021-04-13,0.13420309,0.13894957,0.13420309,0.13833046,1.0,0.1389495673544902,0
2021-04-14,0.13842571,0.13983854,0.13588579,0.13848921,1.0,0.1398385397950079,0
2021-04-15,0.13747324,0.13921943,0.13512381,0.13602866,1.0,0.1392194339882188,0
2021-04-16,0.13613978,0.13660014,0.12744055,0.12888513,1.0,0.1366001401902648,0
2021-04-19,0.13091707,0.14291819,0.13091707,0.13920356,1.0,0.1429181943210871,0
2021-04-20,0.13815584,0.15695126,0.13815584,0.15361761,1.0,0.1569512592749736,0
2021-04-21,0.15369699,0.15507807,0.14053702,0.14053702,1.0,0.1550780673467399,0
2021-04-22,0.14052114,0.1581736,0.14052114,0.15366524,1.0,0.1581735963806855,0
2021-04-23,0.15345887,0.15591942,0.13801297,0.14053702,1.0,0.1559194162636585,0
2021-04-26,0.14069576,0.1459026,0.14069576,0.14437865,1.0,0.1459026017999679,0
2021-04-27,0.14495013,0.14761705,0.14139424,0.14287057,1.0,0.1476170486495378,0
2021-04-28,0.14487076,0.14626772,0.14041002,0.14336268,1.0,0.1462677154808948,0
2021-04-29,0.1436008,0.14699794,0.13807647,0.13926706,1.0,0.1469979428427487,0
2021-04-30,0.1387432,0.1469027,0.1387432,0.141045,1.0,0.1469026957955503,0
2021-05-03,0.1402354,0.14371192,0.13679063,0.13761611,1.0,0.1437119197144064,0
2021-05-04,0.13707638,0.1525699,0.13707638,0.14672808,1.0,0.1525698951038507,0
2021-05-05,0.14606135,0.14606135,0.13510794,0.13887019,1.0,0.1460613468786318,0
2021-05-06,0.13909244,0.1435373,0.13555242,0.13555242,1.0,0.1435373001278762,0
2021-05-07,0.13766373,0.13766373,0.12502762,0.12520224,1.0,0.1376637322173128,0
2021-05-10,0.12634521,0.14668045,0.12634521,0.14668045,1.0,0.1466804526854209,0
2021-05-11,0.1484584,0.17341312,0.1484584,0.15880858,1.0,0.1734131239324175,0
2021-05-12,0.16063415,0.19376424,0.16063415,0.19297052,1.0,0.1937642430171264,0
2021-05-13,0.19235141,0.19235141,0.16433291,0.16699982,1.0,0.1923514118170179,0
