date,open,high,low,close,volume,average,barCount
2021-04-01,330.78,331.6,329.72,331.45,4032498.0,330.749,19988
2021-04-05,333.94,336.16,333.91,335.2,4315249.0,334.864,21926
2021-04-06,334.69,335.42,333.78,334.37,2439253.0,334.739,14074
2021-04-07,334.14,335.17,333.44,334.37,2145067.0,334.205,13838
2021-04-08,334.3,335.15,333.43,335.13,2131434.0,334.377,12542
2021-04-09,335.7,338.08,335.36,337.86,2229546.0,336.371,13552
2021-04-12,337.27,337.86,336.65,337.55,2400666.0,337.31,14041
2021-04-13,336.63,337.42,335.49,336.79,2683207.0,336.362,14745
2021-04-14,336.8,339.11,336.74,337.53,3225826.0,338.209,17854
2021-04-15,338.83,340.72,338.83,340.44,3231763.0,339.898,17934
2021-04-16,341.71,342.43,340.98,341.86,2837184.0,341.722,16396
2021-04-19,341.06,341.31,339.65,340.75,2638125.0,340.417,17749
2021-04-20,339.44,339.86,336.75,338.12,2976630.0,338.188,19065
2021-04-21,337.63,341.54,337.56,341.3,2841437.0,340.052,18662
2021-04-22,341.12,341.21,337.09,338.12,3940173.0,339.177,22535
2021-04-23,337.72,341.59,337.13,340.43,2472006.0,339.784,14201
2021-04-26,341.15,341.48,339.39,339.87,1702764.0,340.495,10207
2021-04-27,339.59,340.43,338.69,339.83,1870023.0,339.631,11659
2021-04-28,339.24,339.49,338.06,338.37,2141511.0,338.658,13830
2021-04-29,339.83,340.86,337.37,340.57,3091998.0,339.394,18589
2021-04-30,338.92,339.65,337.85,338.94,2279870.0,338.656,13377
2021-05-03,340.79,342.18,340.55,341.11,2039835.0,341.563,12417
2021-05-04,339.99,341.49,337.62,341.49,3373907.0,339.634,20895
2021-05-05,342.25,343.3,340.37,342.28,2612762.0,342.155,15330
2021-05-06,342.93,345.64,341.91,345.51,3423601.0,343.695,20526
2021-05-07,345.17,348.29,344.81,347.88,2617100.0,347.183,16127
2021-05-10,349.26,351.09,347.59,347.74,4073326.0,349.632,22774
2021-05-11,344.99,345.22,340.89,342.91,6129275.0,343.033,34886
