date,open,high,low,close,volume,average,barCount
2021-04-01,54.12,54.22,53.81,53.86,37002928.0,54.035,69883
2021-04-05,54.19,54.25,53.95,54.07,22457314.0,54.088,40089
2021-04-06,54.07,54.6,53.96,54.37,27822610.0,54.414,43866
2021-04-07,53.61,53.75,53.38,53.57,41445301.0,53.541,58990
2021-04-08,54.12,54.28,53.98,54.01,39304771.0,54.113,69614
2021-04-09,53.49,53.57,53.37,53.55,28581551.0,53.481,43840
2021-04-12,53.18,53.29,53.06,53.23,26321491.0,53.152,41931
2021-04-13,53.24,53.64,53.16,53.45,26461449.0,53.472,37198
2021-04-14,53.93,54.04,53.67,53.72,23399438.0,53.859,38277
2021-04-15,54.16,54.26,53.99,54.21,35946159.0,54.156,45241
2021-04-16,54.34,54.43,54.09,54.35,25286874.0,54.311,39751
2021-04-19,54.24,54.34,53.96,54.15,25526697.0,54.145,37887
2021-04-20,54.09,54.2,53.56,53.71,23079156.0,53.805,38288
2021-04-21,53.46,54.07,53.34,54.04,25915117.0,53.754,34852
2021-04-22,54.08,54.19,53.68,53.85,34291160.0,53.957,50196
2021-04-23,54.38,54.69,54.34,54.63,20933078.0,54.544,32682
2021-04-26,54.53,54.75,54.43,54.7,25429873.0,54.598,36277
2021-04-27,54.69,54.84,54.58,54.67,19669298.0,54.705,31462
2021-04-28,54.93,55.34,54.75,55.08,27655929.0,55.1,38262
2021-04-29,55.26,55.27,54.49,54.95,27429118.0,54.785,36827
2021-04-30,54.28,54.37,53.85,53.98,39076995.0,54.07,54180
2021-05-03,53.94,54.23,53.76,53.98,18039601.0,53.989,29999
2021-05-04,53.58,53.66,52.98,53.37,31503444.0,53.262,44002
2021-05-05,53.63,53.8,53.45,53.62,21323958.0,53.678,31689
2021-05-06,53.9,54.16,53.73,54.13,22946188.0,53.996,35168
2021-05-07,54.46,54.93,54.39,54.69,33449137.0,54.729,48965
2021-05-10,54.47,54.49,53.66,53.71,30969839.0,53.945,49449
2021-05-11,52.7,53.58,52.66,53.56,32394088.0,53.243,51087
2021-05-12,52.68,52.91,52.01,52.08,44280911.0,52.377,66894
2021-05-13,52.25,52.51,51.74,52.01,34652423.0,52.153,54818
2021-05-14,52.61,53.04,52.48,52.95,34601035.0,52.819,52312
2021-05-17,52.61,52.94,52.53,52.9,19021061.0,52.799,31853
2021-05-18,53.59,53.88,53.52,53.61,26303877.0,53.728,42401
2021-05-19,52.95,53.65,52.91,53.45,38949983.0,53.345,58303
2021-05-20,53.53,53.87,53.52,53.76,27541080.0,53.73,38596
2021-05-21,53.74,53.74,53.06,53.14,31491393.0,53.291,44341
2021-05-24,53.4,53.71,53.28,53.58,16043334.0,53.578,25637
2021-05-25,54.27,54.36,54.03,54.11,28931843.0,54.192,39765
2021-05-26,54.32,54.57,54.3,54.51,21582590.0,54.468,31132
2021-05-27,54.56,54.67,54.4,54.52,27915164.0,54.526,34555
2021-05-28,54.66,55.0,54.64,54.87,32192028.0,54.896,42569
2021-06-01,56.14,56.18,55.82,56.0,34381028.0,55.997,52520
2021-06-02,55.92,56.13,55.77,56.09,18257910.0,56.024,28234
2021-06-03,55.51,55.66,55.34,55.49,26934817.0,55.476,38078
2021-06-04,55.88,56.03,55.8,55.99,24406978.0,55.925,36130
2021-06-07,55.7,55.74,55.46,55.71,20329781.0,55.592,31219
2021-06-08,55.52,55.55,55.26,55.44,27350425.0,55.38,39660
2021-06-09,55.38,55.53,55.23,55.28,22589637.0,55.349,35334
2021-06-10,55.24,55.56,55.19,55.48,18754134.0,55.415,30379
2021-06-11,55.36,55.39,55.11,55.29,21952974.0,55.232,34204
2021-06-14,55.33,55.56,55.27,55.44,21101627.0,55.452,28786
2021-06-15,55.3,55.31,54.94,55.06,23163746.0,55.048,41574
2021-06-16,54.96,55.1,54.09,54.31,39751297.0,54.594,66967
2021-06-17,54.54,54.82,54.45,54.61,23231299.0,54.658,36860
2021-06-18,54.38,54.48,54.12,54.23,33167419.0,54.257,52790
2021-06-21,54.17,54.46,53.92,54.46,20094354.0,54.28,35476
2021-06-22,54.0,54.26,53.85,54.21,27684281.0,54.064,41506
2021-06-23,54.6,54.9,54.51,54.54,21639832.0,54.665,39104
2021-06-24,54.86,55.09,54.81,55.04,17476991.0,55.004,26859
2021-06-25,55.52,55.59,55.29,55.5,18852327.0,55.433,33083
2021-06-28,55.48,55.62,55.4,55.55,12073568.0,55.499,18528
2021-06-29,55.16,55.53,55.04,55.51,14064772.0,55.279,23670
2021-06-30,55.12,55.31,55.04,55.15,26161759.0,55.153,37424
2021-07-01,55.18,55.25,54.56,54.84,22020544.0,54.826,36187
2021-07-02,54.62,54.79,54.45,54.78,19134369.0,54.623,33521
2021-07-06,54.12,54.21,53.62,53.82,30785200.0,53.854,48831
2021-07-07,54.13,54.14,53.55,53.76,21589658.0,53.795,34481
2021-07-08,52.59,52.84,52.46,52.64,38803985.0,52.662,58794
2021-07-09,53.23,53.57,53.09,53.55,22037404.0,53.381,35293
2021-07-12,53.38,53.63,53.28,53.6,17078992.0,53.477,24578
2021-07-13,53.69,53.99,53.64,53.65,23849776.0,53.796,38101
2021-07-14,54.13,54.19,53.77,53.88,16697646.0,53.969,23557
2021-07-15,54.1,54.29,53.88,54.01,27350624.0,54.054,36261
2021-07-16,54.08,54.12,53.48,53.59,20078159.0,53.687,28801
2021-07-19,52.75,52.79,52.41,52.69,29969697.0,52.561,49914
2021-07-20,52.45,52.99,52.33,52.86,31683973.0,52.69,37428
2021-07-21,52.58,53.21,52.53,53.2,21559579.0,52.955,29082
2021-07-22,53.35,53.37,53.07,53.3,22404041.0,53.262,27887
2021-07-23,52.69,52.7,52.23,52.51,25145542.0,52.408,38246
2021-07-26,51.41,51.75,51.3,51.51,34900633.0,51.501,49718
2021-07-27,50.41,50.57,49.83,50.47,63123863.0,50.214,83058
2021-07-28,51.08,51.94,50.96,51.84,48154851.0,51.446,71778
2021-07-29,52.26,52.28,51.89,52.1,39425135.0,52.1,59828
2021-07-30,51.45,51.86,51.43,51.6,54258217.0,51.642,70891
2021-08-02,52.05,52.25,51.91,51.97,35571630.0,52.077,50589
2021-08-03,51.91,52.22,51.68,52.19,24689350.0,52.005,34874
2021-08-04,52.58,52.79,52.34,52.46,26038293.0,52.55,42289
2021-08-05,52.38,52.56,52.34,52.38,12190891.0,52.425,20914
2021-08-06,52.17,52.19,51.79,51.94,29496017.0,51.933,46325
2021-08-09,52.16,52.3,52.05,52.11,17443888.0,52.191,26332
2021-08-10,52.33,52.36,52.1,52.18,12784111.0,52.202,19521
2021-08-11,52.5,52.5,52.08,52.32,15893240.0,52.296,25694
2021-08-12,51.88,51.9,51.65,51.86,21650589.0,51.773,35668
2021-08-13,51.64,51.73,51.39,51.73,23760322.0,51.612,36822
2021-08-16,51.3,51.31,51.04,51.26,35062503.0,51.199,68938
2021-08-17,50.33,50.62,50.11,50.32,55736414.0,50.367,80021
2021-08-18,50.69,50.89,50.38,50.4,34190580.0,50.647,47052
2021-08-19,49.41,49.74,49.37,49.54,56101026.0,49.574,73302
2021-08-20,49.13,49.59,49.11,49.5,37548389.0,49.453,52845
2021-08-23,49.96,50.32,49.85,50.25,39775880.0,50.109,53782
2021-08-24,51.01,51.47,51.0,51.39,45169155.0,51.277,58848
2021-08-25,51.33,51.5,51.2,51.45,22144106.0,51.363,34053
2021-08-26,51.13,51.19,50.91,50.96,24790676.0,51.059,33264
2021-08-27,51.26,51.59,51.1,51.59,23863190.0,51.452,37270
2021-08-30,51.66,51.77,51.43,51.7,16960467.0,51.64,26205
2021-08-31,52.47,52.52,52.33,52.41,34969493.0,52.429,47703
2021-09-01,52.73,53.28,52.73,53.08,31326482.0,53.07,42941
2021-09-02,53.02,53.13,52.76,52.84,23187319.0,52.929,29547
2021-09-03,52.95,53.19,52.93,53.12,18277072.0,53.102,27955
2021-09-07,53.29,53.58,53.25,53.43,28635364.0,53.476,44471
2021-09-08,53.11,53.12,52.53,52.65,37698696.0,52.717,56960
2021-09-09,52.39,52.65,52.29,52.55,25711932.0,52.508,34159
2021-09-10,52.95,53.01,52.48,52.49,34388825.0,52.705,44477
2021-09-13,52.56,52.77,52.36,52.63,31250762.0,52.567,46520
2021-09-14,52.49,52.52,52.09,52.19,32215204.0,52.248,45285
2021-09-15,52.01,52.18,51.8,52.18,34143255.0,51.979,45651
2021-09-16,51.43,51.63,51.25,51.59,37256162.0,51.448,55135
2021-09-17,51.61,51.67,51.26,51.37,33198662.0,51.422,51386
2021-09-20,50.15,50.42,49.57,49.99,44058957.0,50.029,74392
2021-09-21,50.36,50.5,50.14,50.36,34621556.0,50.356,65294
2021-09-22,50.83,51.34,50.82,50.99,41571128.0,51.092,77733
2021-09-23,51.23,51.44,51.12,51.39,22566105.0,51.311,34021
2021-09-24,50.85,50.95,50.72,50.78,23264614.0,50.815,41377
2021-09-27,50.83,51.23,50.67,51.11,26666429.0,51.047,33452
2021-09-28,50.86,50.92,50.28,50.45,38540211.0,50.49,51228
2021-09-29,50.32,50.46,49.96,49.98,31949631.0,50.182,41260
2021-09-30,50.55,50.74,50.28,50.38,49406120.0,50.492,67314
2021-10-01,50.37,50.51,49.88,50.33,41204034.0,50.208,58922
2021-10-04,49.91,49.95,49.28,49.59,38762396.0,49.549,62121
2021-10-05,49.73,50.13,49.67,49.94,24518298.0,49.961,40279
2021-10-06,49.2,49.71,49.11,49.66,46849785.0,49.409,67677
2021-10-07,50.37,50.87,50.33,50.63,42394312.0,50.669,53781
2021-10-08,50.76,50.91,50.64,50.82,21492011.0,50.785,34366
2021-10-11,51.07,51.23,50.7,50.72,24132054.0,50.988,30592
2021-10-12,50.75,50.82,50.42,50.46,23666323.0,50.604,34517
2021-10-13,50.93,51.26,50.78,51.16,29401737.0,51.075,41143
2021-10-14,51.43,51.48,51.13,51.32,20316877.0,51.276,31210
2021-10-15,51.63,52.03,51.52,51.94,37116408.0,51.874,55760
2021-10-18,51.61,51.96,51.57,51.81,21623155.0,51.815,29803
2021-10-19,52.21,52.56,52.12,52.5,35781940.0,52.378,50134
