date,open,high,low,close,volume,average,barCount
2021-04-01,76.26,76.93,76.21,76.86,21288010.0,76.602,43964
2021-04-05,77.5,78.05,77.36,77.98,18822105.0,77.787,36337
2021-04-06,77.05,77.27,76.96,77.15,17240455.0,77.12,33157
2021-04-07,77.18,77.42,77.11,77.31,12822674.0,77.239,23541
2021-04-08,77.66,77.87,77.51,77.75,13477251.0,77.718,28649
2021-04-09,77.69,78.05,77.69,77.99,13909750.0,77.84,26469
2021-04-12,77.67,77.74,77.44,77.56,12966826.0,77.569,26869
2021-04-13,77.67,78.03,77.62,78.01,11768142.0,77.853,25737
2021-04-14,78.05,78.35,78.0,78.07,11606160.0,78.162,24523
2021-04-15,78.56,78.75,78.48,78.72,16694679.0,78.647,30092
2021-04-16,79.02,79.31,78.89,79.29,15074323.0,79.132,26509
2021-04-19,79.37,79.42,78.93,79.15,14261339.0,79.145,27500
2021-04-20,78.24,78.33,77.55,77.73,25618051.0,77.818,55728
2021-04-21,77.58,78.56,77.56,78.53,13343870.0,78.215,26537
2021-04-22,78.71,78.78,78.14,78.27,17673340.0,78.514,34417
2021-04-23,78.55,79.23,78.53,79.07,16092581.0,78.933,29894
2021-04-26,79.1,79.23,78.99,79.13,12499795.0,79.131,25954
2021-04-27,78.74,78.93,78.63,78.87,11671306.0,78.811,20136
2021-04-28,78.81,79.26,78.74,79.07,11974192.0,79.01,24416
2021-04-29,79.35,79.38,78.61,79.1,14762073.0,78.945,31844
2021-04-30,78.62,78.75,77.83,78.11,24858435.0,78.187,48432
2021-05-03,78.75,79.06,78.57,78.97,19836443.0,78.879,41999
2021-05-04,78.11,78.31,77.41,77.8,25753801.0,77.748,55889
2021-05-05,78.65,79.03,78.46,78.86,16071677.0,78.825,31424
2021-05-06,78.96,79.54,78.7,79.51,18140725.0,79.181,37046
2021-05-07,79.67,80.45,79.57,80.41,21846969.0,80.255,40647
2021-05-10,80.67,80.67,79.92,79.98,15577961.0,80.371,32248
2021-05-11,78.53,79.11,78.41,78.93,30984397.0,78.798,64963
2021-05-12,78.39,78.74,77.51,77.67,30728277.0,78.043,70519
2021-05-13,77.69,78.42,77.66,78.25,30138250.0,78.106,58962
2021-05-14,79.01,79.64,78.96,79.56,16107297.0,79.322,34142
2021-05-17,79.1,79.42,79.03,79.41,15172440.0,79.224,31704
2021-05-18,80.04,80.07,79.58,79.58,14174060.0,79.844,32740
2021-05-19,78.59,79.19,78.21,78.88,27576643.0,78.742,69206
2021-05-20,79.39,80.05,79.36,79.92,19099020.0,79.803,39665
2021-05-21,80.18,80.21,79.76,80.03,24295399.0,80.032,41800
2021-05-24,80.25,80.62,80.19,80.52,10023292.0,80.473,20272
2021-05-25,80.77,80.84,80.41,80.54,12212921.0,80.574,25430
2021-05-26,80.45,80.63,80.35,80.49,11301576.0,80.479,21833
2021-05-27,80.62,80.79,80.4,80.64,14502507.0,80.613,29967
2021-05-28,80.85,81.15,80.79,80.83,17783224.0,81.002,34694
2021-06-01,81.5,81.52,81.02,81.12,24602799.0,81.247,40934
2021-06-02,81.27,81.51,81.16,81.39,12210950.0,81.355,24786
2021-06-03,80.96,81.09,80.74,80.99,15258145.0,80.939,34415
2021-06-04,81.53,81.74,81.4,81.68,11517831.0,81.608,26714
2021-06-07,81.87,81.99,81.76,81.95,14274862.0,81.883,33265
2021-06-08,82.06,82.11,81.77,81.91,9991115.0,81.949,23250
2021-06-09,81.88,81.94,81.61,81.69,14852841.0,81.767,28679
2021-06-10,80.67,80.95,80.58,80.81,14490781.0,80.784,34102
2021-06-11,80.91,81.06,80.69,81.0,11622296.0,80.823,22693
2021-06-14,80.93,81.16,80.88,81.14,11533622.0,80.98,24578
2021-06-15,81.21,81.27,81.06,81.24,15517561.0,81.178,28570
2021-06-16,81.31,81.4,80.47,80.74,20105945.0,80.952,36770
2021-06-17,80.22,80.39,79.79,80.18,24922339.0,80.155,44763
2021-06-18,78.74,78.93,78.43,78.52,33167768.0,78.644,63928
2021-06-21,78.87,79.6,78.75,79.55,15762658.0,79.321,32999
2021-06-22,79.29,79.75,79.14,79.56,11267802.0,79.502,20753
2021-06-23,79.46,79.53,78.93,79.05,15185354.0,79.208,27341
2021-06-24,79.64,79.84,79.59,79.81,18306629.0,79.744,40692
2021-06-25,79.99,80.05,79.83,79.98,11144317.0,79.943,23239
2021-06-28,79.7,79.76,79.36,79.47,24899714.0,79.473,36933
2021-06-29,79.63,79.68,79.39,79.49,8350143.0,79.516,16937
2021-06-30,78.77,79.06,78.55,78.88,31034343.0,78.719,47375
2021-07-01,78.89,79.12,78.7,79.07,24697857.0,78.924,31466
2021-07-02,79.08,79.36,78.88,79.34,10764749.0,79.144,22092
2021-07-06,79.35,79.4,78.54,78.82,16965490.0,78.819,34236
2021-07-07,79.16,79.35,78.82,79.25,15798434.0,79.192,32427
2021-07-08,77.99,78.37,77.75,78.23,22314207.0,78.069,48954
2021-07-09,79.05,79.61,78.97,79.56,25277563.0,79.383,49457
2021-07-12,79.58,79.94,79.51,79.9,10757209.0,79.838,24755
2021-07-13,79.61,79.79,79.36,79.48,13461957.0,79.552,32217
2021-07-14,79.82,79.84,79.56,79.66,12233721.0,79.725,25659
2021-07-15,78.9,79.1,78.6,78.9,19033579.0,78.874,37821
2021-07-16,78.87,78.9,78.18,78.32,20727706.0,78.473,42444
2021-07-19,77.09,77.23,76.48,76.9,41759760.0,76.767,89930
2021-07-20,76.72,77.61,76.62,77.46,24886174.0,77.309,52610
2021-07-21,78.01,78.69,77.96,78.64,20655194.0,78.466,40593
2021-07-22,78.93,78.97,78.48,78.67,13570529.0,78.72,27842
2021-07-23,79.19,79.37,79.03,79.22,15682196.0,79.221,31258
2021-07-26,79.07,79.36,79.06,79.33,13334291.0,79.241,30187
2021-07-27,78.96,79.07,78.63,79.01,17668591.0,78.844,43678
2021-07-28,79.02,79.5,78.89,79.35,18532904.0,79.236,42475
2021-07-29,80.01,80.12,79.88,79.9,20334062.0,80.01,37576
2021-07-30,79.58,79.84,79.33,79.49,20760973.0,79.534,41000
2021-08-02,80.14,80.28,79.74,79.89,23951408.0,80.1,38093
2021-08-03,80.23,80.48,79.9,80.46,18149252.0,80.252,39558
2021-08-04,80.51,80.65,80.19,80.22,12414291.0,80.35,25739
2021-08-05,80.62,80.71,80.52,80.61,11018040.0,80.606,22326
2021-08-06,80.42,80.52,80.18,80.31,10363285.0,80.284,22021
2021-08-09,80.33,80.38,80.18,80.27,7245597.0,80.274,15240
2021-08-10,80.26,80.45,80.22,80.45,9815225.0,80.349,22333
2021-08-11,80.93,81.05,80.76,81.0,14253547.0,80.916,28614
2021-08-12,80.83,80.96,80.67,80.93,11797980.0,80.834,22478
2021-08-13,81.19,81.45,81.12,81.42,13461218.0,81.318,29724
2021-08-16,80.79,81.01,80.53,81.0,18014105.0,80.78,50257
2021-08-17,80.23,80.42,79.88,80.24,20569293.0,80.203,47083
2021-08-18,80.22,80.53,79.92,79.93,14413346.0,80.239,29252
2021-08-19,78.89,79.35,78.85,79.14,27567451.0,79.12,62743
2021-08-20,78.91,79.47,78.82,79.45,13798203.0,79.221,29489
2021-08-23,79.88,80.28,79.85,80.19,17152140.0,80.121,36242
2021-08-24,80.16,80.49,80.08,80.36,12021768.0,80.351,27368
2021-08-25,80.28,80.47,80.15,80.39,10352983.0,80.367,24924
2021-08-26,80.13,80.24,79.84,79.97,14271644.0,80.046,35037
2021-08-27,79.99,80.77,79.96,80.7,19471777.0,80.487,39983
2021-08-30,80.67,80.8,80.56,80.68,7506878.0,80.671,16039
2021-08-31,80.82,80.84,80.48,80.64,17075829.0,80.646,33427
2021-09-01,81.26,81.59,81.21,81.37,27694998.0,81.456,46298
2021-09-02,81.71,81.88,81.61,81.7,11295237.0,81.732,23126
2021-09-03,81.8,82.18,81.69,82.07,15454258.0,81.98,31665
2021-09-07,82.2,82.29,82.08,82.13,12273326.0,82.183,24996
2021-09-08,81.78,81.92,81.34,81.48,20560927.0,81.589,42792
2021-09-09,81.45,81.76,81.26,81.34,18247153.0,81.511,36624
2021-09-10,81.92,81.98,81.13,81.16,24807034.0,81.566,43967
2021-09-13,81.95,81.96,81.52,81.8,20923969.0,81.721,39557
2021-09-14,82.04,82.05,81.38,81.46,18429717.0,81.657,33126
2021-09-15,81.38,81.71,81.21,81.7,22472328.0,81.425,50223
2021-09-16,81.35,81.59,81.13,81.57,24031077.0,81.327,39663
2021-09-17,81.07,81.21,80.23,80.5,33452821.0,80.547,63545
2021-09-20,78.74,79.2,78.33,79.01,37020216.0,78.818,84983
2021-09-21,80.08,80.21,79.68,79.79,36006446.0,79.93,64387
2021-09-22,80.18,80.8,80.12,80.19,25081731.0,80.392,63651
2021-09-23,80.82,81.22,80.77,81.06,25543557.0,81.067,46137
2021-09-24,80.22,80.5,80.17,80.3,18915567.0,80.315,38982
2021-09-27,80.07,80.34,79.97,80.25,13761801.0,80.207,27491
2021-09-28,79.04,79.08,78.23,78.5,44833137.0,78.551,86858
2021-09-29,78.71,78.76,78.23,78.32,30320809.0,78.492,62370
2021-09-30,78.4,78.52,77.81,78.01,37092026.0,78.177,71758
2021-10-01,78.05,78.38,77.49,78.2,42296437.0,77.9,71107
2021-10-04,77.96,78.06,77.1,77.38,28981767.0,77.419,61866
2021-10-05,77.56,78.19,77.46,77.91,23760719.0,77.986,39185
2021-10-06,76.65,77.43,76.43,77.39,34499584.0,76.946,61951
2021-10-07,77.81,78.31,77.8,77.99,18011998.0,78.136,31804
2021-10-08,78.19,78.25,77.84,77.98,21270015.0,78.015,37918
2021-10-11,78.16,78.41,77.72,77.73,21064167.0,78.076,41302
2021-10-12,77.87,78.04,77.63,77.77,17798725.0,77.833,32634
2021-10-13,78.18,78.64,77.99,78.54,22032448.0,78.367,37931
2021-10-14,79.29,79.4,79.11,79.32,18148035.0,79.27,32842
2021-10-15,79.76,80.0,79.67,79.98,20906226.0,79.877,38974
2021-10-18,79.38,79.68,79.23,79.64,18304762.0,79.556,27724
2021-10-19,79.95,80.23,79.9,80.12,12675742.0,80.11,24910
2021-10-20,80.2,80.5,80.12,80.4,9986909.0,80.374,19989
2021-10-21,79.88,80.15,79.84,80.02,15375862.0,79.987,29233
2021-10-22,80.37,80.66,80.15,80.5,18528980.0,80.421,31395
2021-10-25,80.29,80.48,80.06,80.34,13074473.0,80.349,25986
2021-10-26,80.83,80.83,80.38,80.5,9271639.0,80.644,23192
2021-10-27,80.51,80.63,80.16,80.18,16017446.0,80.4,34439
2021-10-28,80.57,81.02,80.54,80.96,13644715.0,80.84,29725
2021-10-29,80.27,80.55,80.19,80.49,21783661.0,80.353,45173
2021-11-01,80.95,81.3,80.79,81.27,18706001.0,81.059,37814
2021-11-02,81.01,81.21,80.98,81.1,9000859.0,81.091,21214
2021-11-03,81.07,81.79,80.93,81.76,13874977.0,81.381,41805
2021-11-04,81.53,81.71,81.35,81.71,12041874.0,81.506,26137
2021-11-05,81.7,81.83,81.48,81.83,14360056.0,81.667,31987
2021-11-08,81.87,82.0,81.73,81.82,8408340.0,81.848,19698
2021-11-09,81.87,81.92,81.39,81.64,14873763.0,81.564,35318
2021-11-10,81.3,81.45,80.54,80.65,19714420.0,80.892,38540
2021-11-11,81.06,81.16,80.89,80.94,8127942.0,81.01,18955
2021-11-12,81.21,81.44,81.1,81.38,13077082.0,81.341,25633
2021-11-15,81.58,81.6,81.18,81.23,13145906.0,81.376,24658
2021-11-16,81.22,81.31,81.02,81.05,11123565.0,81.166,23630
2021-11-17,80.88,81.03,80.79,80.95,9237215.0,80.899,20851
2021-11-18,80.94,81.08,80.65,81.03,12471233.0,80.907,30961
2021-11-19,80.59,80.67,80.29,80.34,17129054.0,80.433,41484
2021-11-22,80.23,80.47,79.85,79.87,15402362.0,80.146,34682
2021-11-23,79.7,79.99,79.37,79.79,17817457.0,79.63,38061
2021-11-24,78.66,79.27,78.62,79.26,18001767.0,79.027,37823
2021-11-26,77.72,77.82,76.86,77.13,33770722.0,77.277,73811
2021-11-29,77.74,77.81,77.16,77.52,25621195.0,77.537,53489
2021-11-30,77.35,77.59,76.17,76.84,47322018.0,76.795,120727
2021-12-01,77.89,78.25,76.39,76.4,39639618.0,77.547,88373
2021-12-02,76.88,77.59,76.8,77.35,36841813.0,77.315,85245
2021-12-03,77.6,77.7,76.57,77.03,43816878.0,76.836,97045
2021-12-06,77.54,77.92,77.28,77.77,28747983.0,77.682,60954
2021-12-07,78.77,79.43,78.77,79.41,25335834.0,79.225,47284
2021-12-08,79.47,79.68,79.28,79.56,18898453.0,79.474,43236
2021-12-09,79.04,79.13,78.84,78.9,29051532.0,78.969,53159
2021-12-10,79.04,79.14,78.77,79.07,19519476.0,79.003,42245
2021-12-13,77.39,77.49,76.9,76.99,24935405.0,77.123,52358
2021-12-14,76.67,76.96,76.24,76.58,27238956.0,76.518,56812
2021-12-15,76.8,77.64,76.43,77.62,29155200.0,76.928,73553
2021-12-16,78.0,78.08,77.44,77.63,39831784.0,77.785,69581
2021-12-17,77.06,77.25,76.6,76.65,37604798.0,76.967,65973
2021-12-20,76.18,76.53,75.99,76.48,24978577.0,76.235,47604
2021-12-21,76.84,77.37,76.78,77.33,20484046.0,77.104,39981
2021-12-22,77.22,78.1,77.18,78.05,19672478.0,77.818,44614
2021-12-23,78.13,78.69,78.12,78.51,26440497.0,78.471,47880
2021-12-27,78.55,79.12,78.54,79.12,14159850.0,78.914,28696
2021-12-28,79.2,79.39,79.11,79.15,14443016.0,79.231,30801
2021-12-29,79.04,79.22,78.92,79.12,14037515.0,79.079,29568
2021-12-30,79.02,79.13,78.69,78.75,19371384.0,78.892,47305
2021-12-31,78.74,79.08,78.63,78.68,21424657.0,78.851,41717
2022-01-03,79.14,79.23,78.78,79.19,23098269.0,79.035,41711
2022-01-04,79.69,79.88,79.43,79.64,22801297.0,79.649,41754
2022-01-05,79.94,80.04,78.94,78.94,22412570.0,79.551,49561
2022-01-06,78.68,78.92,78.32,78.54,29962969.0,78.615,53134
2022-01-07,78.5,78.89,78.2,78.77,19809065.0,78.618,37934
2022-01-10,77.88,78.09,77.36,78.04,38851629.0,77.741,74538
2022-01-11,78.09,78.92,77.87,78.89,24340779.0,78.519,45074
2022-01-12,79.38,79.72,79.3,79.66,27822287.0,79.537,45816
2022-01-13,79.89,79.94,78.98,79.08,22469302.0,79.411,41507
2022-01-14,78.78,79.16,78.5,79.0,22776222.0,78.818,45218
2022-01-18,78.06,78.26,77.66,77.84,34062299.0,77.927,69149
2022-01-19,78.23,78.38,77.71,77.77,30633435.0,77.986,54930
2022-01-20,78.05,78.45,77.29,77.39,31068019.0,77.943,58135
2022-01-21,77.15,77.24,76.31,76.34,49767139.0,76.766,102127
2022-01-24,74.91,75.61,73.55,75.58,74361209.0,74.635,164683
2022-01-25,74.68,75.63,74.1,75.12,50426286.0,74.909,103079
2022-01-26,76.04,76.17,74.45,74.83,48761122.0,75.375,118552
2022-01-27,74.97,75.31,74.19,74.48,41577408.0,74.675,82061
2022-01-28,73.98,74.74,73.53,74.73,37122847.0,74.088,81072
2022-01-31,74.71,75.86,74.69,75.82,34290537.0,75.392,72513
2022-02-01,76.29,76.55,75.75,76.54,50485048.0,76.107,85236
2022-02-02,77.16,77.21,76.73,77.11,32383673.0,77.04,70952
2022-02-03,76.39,76.65,75.87,75.89,39867202.0,76.243,87899
2022-02-04,75.75,76.42,75.52,76.07,26885173.0,75.977,59573
2022-02-07,76.13,76.59,76.06,76.2,15702128.0,76.295,38694
2022-02-08,76.19,76.7,75.99,76.59,22653978.0,76.426,48920
2022-02-09,77.66,77.85,77.52,77.83,23555931.0,77.687,51669
