date,open,high,low,close,volume,average,barCount
2021-04-01,161.56,162.11,161.28,161.98,5519409.0,161.793,30843
2021-04-05,161.52,162.41,161.36,161.92,5180911.0,161.855,27889
2021-04-06,162.79,163.53,162.75,163.22,5434635.0,163.241,30369
2021-04-07,162.82,163.31,162.5,162.76,3610995.0,162.959,20019
2021-04-08,164.17,164.77,164.14,164.51,5356472.0,164.487,28466
2021-04-09,162.75,163.66,162.48,163.27,5220374.0,163.237,29656
2021-04-12,162.73,162.8,161.81,162.28,3855894.0,162.301,23379
2021-04-13,163.21,163.85,163.03,163.43,5263863.0,163.478,27282
2021-04-14,162.77,163.05,162.3,162.72,4408849.0,162.651,24390
2021-04-15,164.07,165.79,164.03,165.35,6816816.0,165.185,36862
2021-04-16,166.24,166.82,165.94,166.35,7503294.0,166.464,38523
2021-04-19,165.91,166.44,165.72,165.89,4826469.0,166.017,26212
2021-04-20,165.65,166.81,165.62,166.48,5567724.0,166.423,31627
2021-04-21,167.18,168.39,167.15,168.13,7138272.0,167.937,39561
2021-04-22,167.11,167.53,166.49,167.04,6346039.0,167.023,36958
2021-04-23,167.37,167.53,165.78,166.4,6019632.0,166.511,35339
2021-04-26,166.63,166.87,166.05,166.84,3960107.0,166.576,23003
2021-04-27,166.92,167.15,166.28,166.42,4542059.0,166.635,26257
2021-04-28,165.75,166.96,165.49,166.91,5333674.0,166.326,34193
2021-04-29,165.58,166.26,164.47,166.22,7164062.0,165.463,43475
2021-04-30,165.86,166.0,165.24,165.66,5042309.0,165.655,29615
2021-05-03,167.61,168.43,167.41,167.81,6806536.0,167.949,38191
2021-05-04,167.69,168.55,165.5,166.58,8465560.0,167.049,49971
2021-05-05,166.63,167.31,166.61,167.27,5041985.0,167.018,29065
2021-05-06,167.95,170.29,167.92,170.06,11322401.0,169.789,64760
2021-05-07,171.53,172.56,171.0,171.59,10760512.0,171.676,59045
2021-05-10,172.74,172.84,171.78,172.11,6693999.0,172.195,37357
2021-05-11,170.56,172.17,170.27,172.14,6806526.0,171.416,35498
2021-05-12,171.43,171.84,170.34,170.43,9344128.0,170.859,58244
2021-05-13,170.35,171.27,170.22,171.13,6403706.0,170.834,37408
2021-05-14,172.05,172.7,171.82,172.69,7635253.0,172.302,45672
2021-05-17,173.3,175.0,173.28,174.7,9803363.0,174.478,54605
2021-05-18,175.18,175.21,174.46,175.04,5963060.0,174.856,32390
2021-05-19,175.14,177.0,174.34,175.16,16629960.0,175.668,97073
2021-05-20,175.32,176.46,175.11,175.96,8401737.0,175.83,48351
2021-05-21,176.58,176.87,175.14,176.04,6342638.0,175.796,39034
2021-05-24,176.15,176.59,175.87,176.35,4305283.0,176.328,26045
2021-05-25,176.15,177.95,176.04,177.95,6869535.0,177.291,40297
2021-05-26,178.37,178.61,177.04,177.64,6951498.0,177.909,42452
2021-05-27,177.4,177.82,176.81,177.71,5804940.0,177.341,35599
2021-05-28,177.46,178.43,177.24,178.38,6683632.0,177.901,39190
2021-06-01,178.76,178.85,177.19,177.9,7484773.0,178.005,40907
