date,open,high,low,close,volume,average,barCount
2021-04-01,0.30013932,0.30013932,0.29109085,0.29398001,1.0,0.3001393202297893,0
2021-04-05,0.29017013,0.30987039,0.29017013,0.30456831,1.0,0.3098703935518849,0
2021-04-06,0.30348884,0.30987039,0.28737622,0.29212269,1.0,0.3098703935518849,0
2021-04-07,0.29307516,0.30248875,0.29307516,0.29812326,1.0,0.3024887473940147,0
2021-04-08,0.29417051,0.29880586,0.24953139,0.25099184,1.0,0.2988058615690127,0
2021-04-09,0.29153534,0.29417051,0.28805882,0.28910654,1.0,0.2941705052720276,0
2021-04-12,0.28880492,0.29744065,0.28880492,0.29634531,1.0,0.2974406538925034,0
2021-04-13,0.29371014,0.29845662,0.29069399,0.29372602,1.0,0.2984566223959522,0
2021-04-14,0.29347203,0.29683742,0.29344028,0.29507535,1.0,0.2968374225935807,0
2021-04-15,0.29402763,0.29459912,0.28770958,0.28818582,1.0,0.29459911698442,0
2021-04-16,0.29129722,0.29129722,0.27783564,0.27783564,1.0,0.2912972193482114,0
2021-04-19,0.27596244,0.30628275,0.27596244,0.30261574,1.0,0.3062827547740813,0
2021-04-20,0.2968533,0.31731554,0.2968533,0.31425176,1.0,0.3173155377412206,0
2021-04-21,0.30985452,0.31363265,0.29682155,0.29682155,1.0,0.3136326519162187,0
2021-04-22,0.29578971,0.30266337,0.29239256,0.30188552,1.0,0.3026633669805449,0
2021-04-23,0.30131403,0.30280624,0.27731178,0.27775626,1.0,0.3028062375513424,0
2021-04-26,0.27466074,0.28543953,0.27091435,0.27091435,1.0,0.2854395259455144,0
2021-04-27,0.27194619,0.27666092,0.26942215,0.26942215,1.0,0.2766609230954021,0
2021-04-28,0.26869192,0.26869192,0.20598761,0.21106746,1.0,0.2686919201464756,0
2021-04-29,0.21687753,0.21860785,0.20203486,0.21260728,1.0,0.2186078478280229,0
2021-04-30,0.20900377,0.21646479,0.20590824,0.20819417,1.0,0.2164647892660605,0
2021-05-03,0.20551138,0.21211517,0.20198724,0.21173419,1.0,0.2121151741106704,0
2021-05-04,0.21376612,0.25318253,0.21376612,0.22776744,1.0,0.2531825259610149,0
2021-05-05,0.22921202,0.22921202,0.2130359,0.21865547,1.0,0.2292120190827697,0
2021-05-06,0.2144011,0.2307836,0.2144011,0.22041754,1.0,0.2307835953615421,0
2021-05-07,0.21367088,0.21394074,0.20052678,0.20328895,1.0,0.2139407425153049,0
2021-05-10,0.20492402,0.23303778,0.20492402,0.22930727,1.0,0.2330377754785691,0
2021-05-11,0.23403787,0.2667711,0.23403787,0.24845192,1.0,0.2667711046946427,0
2021-05-12,0.24637236,0.29882174,0.24637236,0.29882174,1.0,0.2988217360768791,0
2021-05-13,0.29975833,0.29975833,0.2540715,0.25908784,1.0,0.299758332040996,0
2021-05-14,0.25708765,0.25708765,0.22383056,0.225926,1.0,0.2570876548961463,0
2021-05-17,0.22764044,0.24495953,0.22764044,0.24307046,1.0,0.2449595308862262,0
2021-05-18,0.24335621,0.24335621,0.2347681,0.23743501,1.0,0.243356205591721,0
2021-05-19,0.24602312,0.27366064,0.24602312,0.2516427,1.0,0.2736606411086549,0
2021-05-20,0.25275391,0.25275391,0.23189481,0.23329177,1.0,0.2527539142486225,0
2021-05-21,0.23433949,0.23433949,0.22195737,0.22589425,1.0,0.2343394851236129,0
2021-05-24,0.2240528,0.2240528,0.20706708,0.21148019,1.0,0.2240528040261938,0
2021-05-25,0.21340101,0.21735376,0.20995624,0.21578219,1.0,0.2173537617065783,0
2021-05-26,0.21722677,0.21789349,0.20854341,0.20854341,1.0,0.2178934949740354,0
2021-05-27,0.20744807,0.20944826,0.20379693,0.2041303,1.0,0.2094482567891173,0
2021-05-28,0.21057535,0.21057535,0.20149513,0.20266984,1.0,0.2105753468476308,0
2021-06-01,0.20455891,0.35970047,0.20455891,0.21841735,1.0,0.3597004737444754,0
2021-06-02,0.21908408,0.2200683,0.21227392,0.21638542,1.0,0.2200683025517305,0
2021-06-03,0.21565519,0.22703721,0.21565519,0.21800462,1.0,0.2270372115050747,0
2021-06-04,0.22217961,0.22217961,0.20395568,0.20482877,1.0,0.2221796120979601,0
2021-06-07,0.20728932,0.21632192,0.20728932,0.21028961,1.0,0.2163219186952631,0
2021-06-08,0.2106071,0.2106071,0.20425729,0.20628923,1.0,0.2106070958633635,0
2021-06-09,0.20527326,0.20665434,0.20398743,0.2057495,1.0,0.206654343404633,0
2021-06-10,0.20524151,0.20524151,0.1927959,0.19304989,1.0,0.2052415122045246,0
2021-06-11,0.1926054,0.19508183,0.1845094,0.18581111,1.0,0.1950818271700365,0
2021-06-14,0.18806529,0.19466909,0.18806529,0.19008136,1.0,0.1946690899655105,0
2021-06-15,0.1895575,0.19339913,0.18941463,0.19227204,1.0,0.1933991293361994,0
2021-06-16,0.1911767,0.20579712,0.19035122,0.1991457,1.0,0.2057971199798481,0
2021-06-17,0.19930445,0.25796075,0.19055759,0.19108145,1.0,0.2579607528287976,0
2021-06-18,0.19404998,0.20668609,0.19404998,0.19900283,1.0,0.2066860924203658,0
2021-06-21,0.209734,0.21230567,0.19414523,0.19649466,1.0,0.212305668205067,0
2021-06-22,0.1950977,0.1967169,0.18970037,0.18970037,1.0,0.1967169014802744,0
2021-06-23,0.19057347,0.19177993,0.18563649,0.18728744,1.0,0.1917799295338279,0
2021-06-24,0.18681121,0.20948001,0.18014392,0.18438241,1.0,0.20948000580485,0
2021-06-25,0.19235141,0.20065378,0.19235141,0.19943144,1.0,0.2006537794311386,0
2021-06-28,0.2225606,0.24153064,0.2225606,0.23680003,1.0,0.2415306371870865,0
2021-06-29,0.23741914,0.24416581,0.23741914,0.24343558,1.0,0.2441658054929068,0
2021-06-30,0.24462617,0.2533254,0.24462617,0.24883291,1.0,0.2533253965318124,0
2021-07-01,0.24924565,0.2524523,0.24822968,0.24857892,1.0,0.2524522985991611,0
2021-07-02,0.24911865,0.24911865,0.24214974,0.24567388,1.0,0.2491186519472197,0
