date,open,high,low,close,volume,average,barCount
2021-04-01,104.61,106.79,104.57,106.49,14081040.0,105.72325,5520
2021-04-05,107.25,111.45,107.25,110.95,17218820.0,109.937,6310
2021-04-06,110.53,111.4,110.09,110.46,11769540.0,110.6105,4523
2021-04-07,110.66,112.23,110.66,111.95,7863840.0,111.526,2914
2021-04-08,113.2,113.59,112.15,112.52,9857520.0,112.57075,3743
2021-04-09,112.27,113.7,111.86,113.53,8173140.0,112.8976,3085
2021-04-12,112.71,112.84,111.39,112.23,7850000.0,112.26515,2919
2021-04-13,112.55,113.17,112.15,112.72,5646940.0,112.66,2115
2021-04-14,113.37,113.37,111.8,112.1,5712460.0,112.6299,2193
2021-04-15,113.09,114.8,112.56,114.26,9479940.0,113.9067,3569
2021-04-16,114.47,114.71,113.55,114.14,8044920.0,114.18805,2673
2021-04-19,113.51,115.2,113.51,114.49,8172080.0,114.3821,3073
2021-04-20,114.87,114.95,112.86,113.95,6466200.0,113.93035,2518
2021-04-21,113.6,114.0,112.24,113.92,7613420.0,113.14795,3106
2021-04-22,113.77,114.44,112.02,112.63,7748660.0,113.06335,3009
2021-04-23,113.35,115.31,113.06,115.0,8759540.0,114.51625,3462
2021-04-26,115.14,116.23,114.87,115.5,10097680.0,115.5794,3985
2021-04-27,115.88,115.92,114.31,114.55,13092100.0,114.7907,4731
2021-04-28,119.6,121.57,117.66,117.95,32096020.0,119.4637,11745
2021-04-29,119.47,120.21,118.69,119.64,14583260.0,119.51585,5258
2021-04-30,118.4,119.09,117.33,117.67,14430960.0,117.91795,5773
2021-05-03,118.13,119.08,116.78,117.15,9219120.0,117.816,3544
2021-05-04,115.68,116.25,112.83,115.34,16381400.0,114.3473,6365
2021-05-05,116.43,116.75,115.41,115.74,8506320.0,116.103,3413
2021-05-06,115.32,116.87,114.65,116.87,7124540.0,115.92375,2845
2021-05-07,118.19,118.56,117.31,117.6,10043540.0,117.91405,3985
2021-05-10,116.41,116.55,114.23,114.59,9783080.0,115.0899,3697
2021-05-11,112.15,114.01,111.7,113.5,12289060.0,113.0707,4882
2021-05-12,111.41,112.4,109.68,110.01,14201100.0,110.6201,5698
2021-05-13,111.31,111.97,110.34,111.45,9980440.0,111.311,4065
2021-05-14,112.93,114.24,112.5,113.92,10728640.0,113.46085,4530
2021-05-17,113.18,114.49,112.78,114.45,6905700.0,113.8185,2792
2021-05-18,115.12,115.38,113.11,113.12,6339480.0,114.37005,2436
2021-05-19,111.42,113.75,111.27,113.58,7598160.0,112.6255,2960
2021-05-20,114.55,115.6,114.18,115.35,8786680.0,114.9661,3486
2021-05-21,115.87,115.94,114.47,114.71,12938240.0,115.08105,5160
2021-05-24,115.74,118.28,115.6,118.05,9564700.0,117.57155,3754
2021-05-25,118.6,119.2,117.75,118.14,7395460.0,118.3083,2883
2021-05-26,118.33,119.45,118.32,119.02,6468980.0,118.9863,2475
2021-05-27,119.45,119.45,117.81,118.13,6636000.0,118.7592,2757
2021-05-28,118.72,118.8,117.64,117.84,7369860.0,118.2901,3023
2021-06-01,118.61,119.29,117.71,119.06,8114340.0,118.67485,3136
2021-06-02,119.39,119.68,117.62,118.53,6257440.0,118.5295,2391
2021-06-03,117.29,117.85,116.48,117.38,5909680.0,117.14265,2255
2021-06-04,118.46,119.95,118.12,119.68,8071080.0,119.42875,3217
2021-06-07,119.31,120.23,119.05,120.12,8123440.0,119.6603,3154
2021-06-08,120.6,120.98,119.74,119.92,8197000.0,120.3008,3095
2021-06-09,120.57,120.64,119.85,120.4,6008960.0,120.3185,2458
2021-06-10,120.35,121.8,120.19,121.76,9308060.0,121.30385,3542
2021-06-11,122.0,122.09,120.95,121.51,6895920.0,121.44055,2635
2021-06-14,121.63,122.45,120.9,122.45,6843380.0,121.58945,2721
2021-06-15,122.45,122.78,121.06,121.42,5957240.0,121.78115,2286
2021-06-16,121.85,121.89,119.47,120.77,8507500.0,120.9475,3259
2021-06-17,120.7,122.52,120.5,121.74,8259400.0,121.73095,3031
2021-06-18,121.25,121.6,120.02,120.11,12931840.0,120.8232,3998
2021-06-21,120.3,122.0,119.9,121.81,7810320.0,121.3653,2903
2021-06-22,121.75,122.4,121.06,122.33,7005920.0,121.77245,2733
2021-06-23,122.09,123.1,121.83,122.13,6285920.0,122.3022,2423
2021-06-24,122.73,123.06,122.3,122.5,5501860.0,122.60595,2299
2021-06-25,122.14,122.63,121.57,122.51,7954920.0,122.09835,3156
2021-06-28,122.68,122.79,121.41,122.54,9162620.0,122.1163,3760
2021-06-29,122.67,123.02,121.69,122.27,6087620.0,122.30165,2347
2021-06-30,121.99,122.26,121.35,122.09,7420000.0,121.8424,2988
2021-07-01,121.73,122.59,121.53,122.44,5691840.0,122.15375,2336
2021-07-02,123.16,125.4,123.06,125.26,9209160.0,124.5241,3542
2021-07-06,125.65,126.43,124.58,126.19,8629400.0,125.68035,3125
