date,open,high,low,close,volume,average,barCount
2021-04-01,86.97,87.07,86.85,87.07,22877489.0,86.953,49936
2021-04-05,87.08,87.18,87.04,87.11,15418584.0,87.089,30553
2021-04-06,87.13,87.3,87.13,87.26,12034720.0,87.23,31225
2021-04-07,87.28,87.32,87.17,87.23,9659240.0,87.244,25958
2021-04-08,87.33,87.36,87.24,87.26,9914827.0,87.295,22792
2021-04-09,87.15,87.21,87.1,87.2,14482884.0,87.157,33492
2021-04-12,87.1,87.14,87.02,87.11,13520738.0,87.073,27944
2021-04-13,87.0,87.2,86.9,87.17,14485426.0,87.071,35083
2021-04-14,87.19,87.29,87.09,87.13,13225811.0,87.2,38850
2021-04-15,87.33,87.48,87.27,87.48,18919017.0,87.405,35907
2021-04-16,87.5,87.53,87.3,87.3,24859522.0,87.377,61838
2021-04-19,87.2,87.29,87.12,87.16,17671492.0,87.196,34515
2021-04-20,87.06,87.14,86.96,87.01,18703723.0,87.029,41677
2021-04-21,86.97,87.3,86.96,87.3,15470220.0,87.189,33510
2021-04-22,87.32,87.33,87.12,87.14,13818914.0,87.244,35028
2021-04-23,87.2,87.45,87.19,87.37,11541219.0,87.35,30570
2021-04-26,87.38,87.48,87.29,87.33,8423073.0,87.4,22786
2021-04-27,87.38,87.38,87.21,87.21,12833568.0,87.294,32560
2021-04-28,87.24,87.45,87.17,87.38,11665860.0,87.313,31729
2021-04-29,87.52,87.55,87.35,87.48,10893482.0,87.424,31195
2021-04-30,87.37,87.49,87.34,87.44,20750039.0,87.444,44141
2021-05-03,87.23,87.33,87.17,87.18,10287594.0,87.244,25810
2021-05-04,87.11,87.15,86.97,87.13,17799906.0,87.063,38453
2021-05-05,87.19,87.32,87.08,87.3,15295101.0,87.219,35001
2021-05-06,87.29,87.34,87.15,87.27,16902846.0,87.217,41921
2021-05-07,87.35,87.41,87.23,87.33,14657338.0,87.332,37074
2021-05-10,87.36,87.38,87.13,87.13,13505158.0,87.247,35459
2021-05-11,86.9,87.09,86.81,87.04,24917958.0,86.983,65638
2021-05-12,86.91,86.98,86.62,86.62,27217627.0,86.8,62483
2021-05-13,86.77,87.0,86.76,86.93,22346294.0,86.895,58777
2021-05-14,87.05,87.21,87.02,87.21,19277326.0,87.141,39400
2021-05-17,87.2,87.21,86.98,87.05,9450634.0,87.079,26371
2021-05-18,87.17,87.17,86.84,86.84,11711058.0,87.009,30512
2021-05-19,86.6,86.84,86.57,86.61,25883832.0,86.693,69760
2021-05-20,86.68,87.34,86.68,86.98,21139135.0,86.895,57214
2021-05-21,87.08,87.13,86.92,87.11,18404389.0,87.037,42731
2021-05-24,87.18,87.31,87.1,87.21,17641886.0,87.201,39688
2021-05-25,87.26,87.28,87.13,87.22,12277274.0,87.208,32900
2021-05-26,87.16,87.27,87.16,87.25,10677790.0,87.207,26146
2021-05-27,87.34,87.38,87.2,87.21,10988790.0,87.28,24562
2021-05-28,87.3,87.35,87.18,87.18,11168940.0,87.273,27357
2021-06-01,87.06,87.16,87.0,87.15,17122928.0,87.087,38134
2021-06-02,87.15,87.27,87.12,87.26,10765328.0,87.231,28165
2021-06-03,87.03,87.23,86.98,87.08,13718508.0,87.107,33674
2021-06-04,87.23,87.31,87.17,87.27,17305608.0,87.224,45522
2021-06-07,87.29,87.35,87.26,87.3,7233848.0,87.303,22633
2021-06-08,87.43,87.44,87.31,87.36,9318053.0,87.354,28500
2021-06-09,87.47,87.49,87.4,87.43,11124399.0,87.444,31736
2021-06-10,87.5,87.66,87.46,87.59,12837222.0,87.571,34396
2021-06-11,87.65,87.69,87.55,87.62,9582489.0,87.63,29473
2021-06-14,87.59,87.59,87.47,87.54,13634654.0,87.53,32691
2021-06-15,87.48,87.57,87.44,87.53,12577832.0,87.516,28713
2021-06-16,87.53,87.57,87.26,87.41,18673586.0,87.462,46297
2021-06-17,87.46,87.5,87.38,87.47,16013173.0,87.443,37440
2021-06-18,87.34,87.45,87.29,87.43,22133569.0,87.4,47566
2021-06-21,87.52,87.6,87.45,87.6,14279313.0,87.548,32799
2021-06-22,87.57,87.66,87.52,87.66,10039423.0,87.589,25236
2021-06-23,87.63,87.75,87.57,87.57,12625556.0,87.694,31782
2021-06-24,87.74,87.84,87.7,87.84,10561355.0,87.771,30173
2021-06-25,87.85,87.95,87.83,87.93,11642212.0,87.88,25823
2021-06-28,87.97,87.97,87.86,87.92,11717656.0,87.895,24129
2021-06-29,87.94,88.03,87.93,88.03,9239085.0,87.962,22060
2021-06-30,87.97,88.07,87.96,88.04,13434704.0,88.006,32919
2021-07-01,87.83,87.92,87.81,87.92,20025609.0,87.881,42366
2021-07-02,87.96,88.07,87.92,88.06,9139005.0,87.981,22187
2021-07-06,88.06,88.08,87.94,88.01,14572991.0,88.01,31814
2021-07-07,88.09,88.1,87.93,88.04,8945608.0,88.03,25682
2021-07-08,87.79,87.93,87.77,87.85,19714466.0,87.842,38908
2021-07-09,87.88,88.02,87.87,88.0,11412351.0,87.965,30778
2021-07-12,88.0,88.02,87.88,87.97,13074755.0,87.964,23067
2021-07-13,87.92,87.96,87.7,87.71,17387720.0,87.837,36876
2021-07-14,87.81,87.88,87.74,87.85,11644848.0,87.823,25677
