date,open,high,low,close,volume,average,barCount
2021-04-01,222.4,223.86,222.02,223.74,19157624.0,222.934,122457
2021-04-05,226.41,226.54,223.57,224.97,19527237.0,224.653,121842
2021-04-06,225.0,226.69,223.84,224.31,17666102.0,225.272,116529
2021-04-07,224.23,224.37,219.94,220.69,17843166.0,221.685,111616
2021-04-08,221.81,222.82,219.39,222.56,17731701.0,221.41,108329
2021-04-09,222.42,223.09,221.24,222.59,15678363.0,222.082,97667
2021-04-12,222.72,222.93,220.4,221.72,14841788.0,221.511,92470
2021-04-13,221.48,222.57,218.83,221.14,17628157.0,220.546,102233
2021-04-14,221.87,226.0,221.8,223.32,20486391.0,224.196,115323
2021-04-15,225.09,225.12,222.26,224.29,15291186.0,223.514,95167
2021-04-16,225.4,225.68,223.01,224.65,16113355.0,224.364,102708
2021-04-19,223.63,224.25,219.94,221.73,18333298.0,221.49,106853
2021-04-20,220.77,221.43,215.24,217.19,26791310.0,217.257,167337
2021-04-21,216.96,222.62,215.5,222.5,23533888.0,220.354,140114
2021-04-22,223.23,225.33,220.78,221.58,26175955.0,222.862,150250
2021-04-23,222.87,226.65,222.02,225.76,17436294.0,225.244,111881
2021-04-26,227.0,228.69,226.75,228.11,13996174.0,227.962,95103
2021-04-27,228.77,229.39,227.51,228.45,14178774.0,228.38,87326
2021-04-28,228.03,229.49,227.1,228.84,11815852.0,228.362,81309
2021-04-29,230.85,230.95,225.79,227.99,17217433.0,227.951,111842
2021-04-30,225.72,227.8,224.14,224.89,16995165.0,225.62,110550
2021-05-03,227.21,227.41,224.92,225.99,13196785.0,226.302,83884
2021-05-04,224.6,224.9,220.95,223.29,20131634.0,222.488,133483
2021-05-05,224.28,224.54,221.36,222.4,17589533.0,222.845,117946
2021-05-06,222.65,222.81,218.64,222.59,20689703.0,220.656,123847
2021-05-07,222.64,225.93,222.16,225.39,19786781.0,224.987,129920
2021-05-10,225.23,225.67,219.59,219.66,20236534.0,222.34,132454
2021-05-11,214.92,220.39,214.42,218.96,29708515.0,217.998,205709
2021-05-12,217.09,218.77,211.54,211.85,29338461.0,214.961,194486
2021-05-13,213.31,217.44,211.8,215.75,28300775.0,215.003,180562
2021-05-14,217.94,221.41,216.88,221.02,18033685.0,219.681,120645
2021-05-17,219.78,221.39,217.9,221.32,14600662.0,219.794,94079
2021-05-18,221.39,223.24,219.47,219.64,17936977.0,221.717,118260
2021-05-19,215.99,218.16,214.05,217.95,23976884.0,216.123,166536
2021-05-20,218.25,219.87,216.33,219.4,19105286.0,218.249,130073
2021-05-21,221.29,222.37,219.51,219.97,15687097.0,220.934,107725
2021-05-24,221.18,222.45,220.0,221.4,13700851.0,221.378,90149
2021-05-25,222.25,223.71,219.19,219.26,14842886.0,221.095,101006
2021-05-26,220.13,223.69,220.12,223.35,15158126.0,222.466,97070
2021-05-27,225.09,226.36,224.18,225.65,15154873.0,225.587,99504
2021-05-28,227.08,227.18,225.05,225.5,13565284.0,225.813,89181
2021-06-01,227.46,228.56,225.96,228.06,17983135.0,227.473,128042
2021-06-02,228.9,228.92,226.82,228.33,14501037.0,227.74,95542
2021-06-03,226.82,227.62,224.04,226.42,18466771.0,226.04,124157
2021-06-04,227.47,228.06,226.21,227.4,13060451.0,227.143,91058
2021-06-07,227.89,230.78,227.89,230.45,16210388.0,229.801,105315
2021-06-08,231.45,233.49,229.98,232.89,18954869.0,232.073,121560
2021-06-09,233.54,233.64,230.98,231.34,12442877.0,232.251,85747
2021-06-10,231.68,232.18,228.71,229.28,15955270.0,230.073,106365
2021-06-11,230.3,231.8,230.07,231.7,12635467.0,231.008,85610
2021-06-14,232.33,233.35,230.14,231.02,13737799.0,231.351,89707
2021-06-15,231.12,231.47,228.47,230.36,11746924.0,230.001,80410
2021-06-16,229.7,230.68,227.64,229.87,17970193.0,229.228,121150
2021-06-17,229.22,230.2,224.52,227.29,25467385.0,227.33,173899
2021-06-18,223.7,225.74,221.13,222.13,34723900.0,223.139,225398
2021-06-21,224.05,227.5,223.28,226.88,19692090.0,226.023,136968
2021-06-22,226.27,228.41,224.72,227.91,16595889.0,226.596,118508
2021-06-23,227.99,229.96,227.99,228.66,13352724.0,229.112,92574
2021-06-24,230.09,231.89,229.49,231.89,15237853.0,230.859,103496
2021-06-25,232.25,233.41,231.75,232.28,15224886.0,232.63,92404
2021-06-28,232.22,232.59,228.77,230.44,18846719.0,230.445,126140
2021-06-29,231.22,231.73,228.77,229.34,14351520.0,230.201,93793
2021-06-30,228.63,230.32,227.76,229.37,15541335.0,229.413,100759
2021-07-01,230.81,231.85,229.71,231.39,14106679.0,230.983,95025
2021-07-02,232.0,232.08,228.56,229.19,15958882.0,229.584,104541
2021-07-06,229.36,229.46,223.87,225.86,21792674.0,225.569,145142
2021-07-07,225.54,226.67,221.8,223.76,21025438.0,223.984,136711
2021-07-08,219.3,224.08,217.85,221.7,32561444.0,221.261,216770
2021-07-09,224.16,226.45,223.34,226.38,17905559.0,225.44,117850
2021-07-12,225.56,226.89,224.55,226.57,13350695.0,225.785,88564
2021-07-13,225.24,225.74,222.22,222.3,20229939.0,223.471,138030
2021-07-14,223.71,224.36,218.55,218.87,24401143.0,220.631,164058
2021-07-15,217.83,219.06,214.94,217.63,34023365.0,217.156,211120
2021-07-16,219.83,219.88,214.47,214.95,25656636.0,216.866,164561
2021-07-19,210.63,214.45,209.05,211.73,44710697.0,211.396,298656
2021-07-20,212.2,219.27,211.26,218.3,28060835.0,216.627,178136
2021-07-21,219.45,222.22,219.36,222.06,21290335.0,221.442,137626
2021-07-22,221.47,221.57,217.58,218.53,24275416.0,218.982,163541
2021-07-23,219.86,219.95,216.91,219.55,18271650.0,218.625,121151
2021-07-26,220.4,222.05,219.15,220.19,17065395.0,220.408,114814
2021-07-27,219.01,219.08,215.38,217.62,26879026.0,216.904,189031
2021-07-28,218.88,222.59,217.4,220.82,26105139.0,220.113,175767
2021-07-29,222.79,224.44,222.14,222.52,17755178.0,223.354,121146
2021-07-30,221.72,224.05,220.27,221.05,21719815.0,221.707,153853
2021-08-02,222.47,224.55,219.64,219.95,19239673.0,221.93,133903
2021-08-03,220.62,221.12,217.1,220.86,22122236.0,219.47,151357
2021-08-04,219.1,221.2,217.89,218.11,19867783.0,219.188,138514
2021-08-05,219.09,222.44,218.68,222.03,17865533.0,221.221,120602
2021-08-06,223.75,225.21,222.14,223.39,18415201.0,223.281,130740
2021-08-09,222.92,223.19,221.21,222.16,14839922.0,222.405,101362
2021-08-10,222.64,223.22,221.19,222.6,17673704.0,222.474,113893
2021-08-11,223.02,223.73,220.47,223.69,20673924.0,222.003,143657
2021-08-12,223.77,223.84,221.71,223.16,17512072.0,222.668,108542
2021-08-13,222.98,223.3,220.7,221.13,14253456.0,221.59,91102
2021-08-16,219.77,220.26,217.65,219.07,19365658.0,219.083,118145
2021-08-17,216.66,217.44,213.75,216.4,28551559.0,215.686,178108
2021-08-18,216.1,218.04,214.37,214.51,22572133.0,216.592,142469
2021-08-19,212.43,214.07,210.68,211.94,30391796.0,212.363,195898
2021-08-20,212.1,216.02,211.42,215.52,23404422.0,214.04,151268
2021-08-23,217.48,219.94,217.44,219.62,21007582.0,218.878,130025
2021-08-24,220.32,221.92,219.69,221.78,13732898.0,221.043,86262
2021-08-25,221.77,223.97,220.85,222.56,15017982.0,222.928,91457
2021-08-26,222.14,223.16,219.74,220.2,18216008.0,221.258,117680
2021-08-27,220.6,227.03,220.57,226.41,24653260.0,225.178,156171
2021-08-30,227.27,227.35,224.98,225.48,15836622.0,225.743,97610
2021-08-31,225.24,226.61,224.33,225.92,13259893.0,225.699,80499
2021-09-01,226.83,228.24,224.87,227.44,15708437.0,226.897,98729
2021-09-02,228.33,229.84,227.6,229.02,15513352.0,228.885,98828
2021-09-03,228.24,228.97,227.19,227.96,12618701.0,227.978,79851
2021-09-07,227.72,229.0,226.25,226.39,14897579.0,227.446,92613
2021-09-08,225.59,225.97,222.63,223.92,19257318.0,224.12,118068
2021-09-09,223.53,226.29,222.96,223.81,20221325.0,224.827,125637
2021-09-10,225.16,225.29,221.52,221.62,17554461.0,223.257,112535
2021-09-13,223.21,223.38,220.25,222.88,27089301.0,222.339,172282
2021-09-14,223.75,223.77,219.07,220.04,23195703.0,221.084,152245
2021-09-15,219.94,222.74,219.46,222.03,19191053.0,221.398,126789
2021-09-16,222.26,223.34,220.26,222.19,16374626.0,221.886,107320
2021-09-17,221.62,223.03,220.64,222.48,23414397.0,221.919,148354
2021-09-20,217.41,218.99,214.22,217.19,32422659.0,216.523,204374
2021-09-21,218.76,219.29,215.82,217.52,20511869.0,217.798,132054
2021-09-22,218.89,222.55,218.84,220.9,23585865.0,220.843,152757
2021-09-23,222.18,225.65,221.56,224.81,20081797.0,224.228,129147
2021-09-24,222.94,224.36,221.84,223.05,17861294.0,223.508,112767
2021-09-27,223.62,227.68,223.53,226.44,21376874.0,226.23,131184
2021-09-28,225.41,225.6,220.85,221.29,29811549.0,222.722,187253
2021-09-29,222.27,222.66,220.17,220.82,18280176.0,221.364,125767
2021-09-30,222.12,222.61,218.6,218.75,23536865.0,220.263,166937
2021-10-01,220.04,223.5,217.74,222.28,24933368.0,220.978,159228
2021-10-04,222.13,222.32,218.93,220.26,24274930.0,220.212,154058
2021-10-05,220.96,223.06,219.88,221.02,14594086.0,221.351,92094
2021-10-06,218.76,220.2,216.76,219.87,26146940.0,218.423,166412
2021-10-07,221.53,224.95,221.37,223.26,17194062.0,223.588,109725
2021-10-08,223.39,224.11,221.5,221.58,12868233.0,222.596,82206
2021-10-11,221.82,223.55,220.25,220.31,11907268.0,222.079,75409
2021-10-12,220.85,222.47,220.36,221.52,13376432.0,221.584,88203
2021-10-13,221.89,222.7,219.83,222.57,13794607.0,221.748,85173
2021-10-14,224.75,226.0,224.32,225.87,12092800.0,225.415,76137
2021-10-15,227.96,228.41,225.06,225.16,16062459.0,226.851,95881
2021-10-18,223.88,225.68,223.73,225.03,13742660.0,224.882,84887
2021-10-19,225.97,226.88,224.61,225.87,11674661.0,225.748,74386
2021-10-20,225.98,227.98,225.12,227.37,12454343.0,227.039,76849
2021-10-21,227.19,229.01,226.62,227.95,12899042.0,227.784,78531
2021-10-22,227.8,228.39,225.69,227.41,13254066.0,227.236,82417
2021-10-25,227.79,229.98,227.28,229.57,11821917.0,229.159,70608
2021-10-26,230.05,230.72,227.84,227.84,18516838.0,229.128,108391
2021-10-27,227.18,227.46,223.5,223.65,20144441.0,225.449,118291
2021-10-28,224.8,228.26,224.77,228.11,14907112.0,227.014,89338
2021-10-29,227.8,228.83,226.96,228.05,13742421.0,227.995,83666
2021-11-01,229.18,234.18,228.89,233.96,24592022.0,232.572,148611
2021-11-02,234.38,234.85,232.65,234.45,17647034.0,233.83,115257
2021-11-03,234.15,239.81,233.92,238.64,30211464.0,237.473,180030
2021-11-04,239.48,240.94,237.56,238.55,18612626.0,239.033,122822
2021-11-05,241.17,243.4,240.2,241.81,26509407.0,241.91,169565
2021-11-08,243.74,244.46,241.93,242.56,20569754.0,243.387,133690
2021-11-09,242.0,242.53,239.54,241.15,19227825.0,240.966,127452
2021-11-10,240.07,241.56,236.31,237.35,24228901.0,238.872,162771
2021-11-11,238.28,240.38,237.66,239.26,11857805.0,239.343,78026
2021-11-12,239.92,240.21,238.74,239.5,12984045.0,239.418,82253
2021-11-15,240.57,240.76,237.55,238.55,17699962.0,238.614,112680
2021-11-16,237.76,239.37,236.95,238.99,14390370.0,238.314,97978
2021-11-17,238.02,238.13,235.13,235.86,16339605.0,236.297,101372
2021-11-18,236.88,237.07,233.05,234.86,20940923.0,234.693,139879
