date,open,high,low,close,volume,average,barCount
2021-03-31,290.0,296.5,288.61,294.53,11827282.0,294.143,63534
2021-04-01,298.69,302.4,296.6,298.66,12075094.0,299.301,66464
2021-04-05,300.89,310.77,300.68,308.91,19348447.0,307.345,102516
2021-04-06,308.52,311.35,305.25,306.26,11580066.0,307.479,62933
2021-04-07,306.33,314.25,305.5,313.09,16930798.0,311.19,82357
2021-04-08,314.84,315.88,310.05,313.02,14764855.0,312.282,78229
2021-04-09,311.37,314.74,310.33,312.46,10794341.0,312.287,54939
2021-04-12,311.02,312.15,307.93,311.54,6673784.0,310.363,38554
2021-04-13,312.33,314.43,309.32,309.76,8326939.0,311.92,45505
2021-04-14,307.37,308.03,301.95,302.82,10616568.0,304.321,57275
2021-04-15,306.34,310.14,304.1,307.82,9647022.0,307.736,52144
2021-04-16,308.26,308.95,304.61,306.18,7439051.0,306.087,38895
2021-04-19,305.03,307.7,300.56,302.24,8996002.0,302.943,49447
2021-04-20,301.99,305.1,297.21,302.65,11731849.0,301.414,59599
2021-04-21,301.93,301.98,297.39,301.47,9943661.0,299.518,54162
2021-04-22,301.33,302.92,296.04,296.52,10482076.0,299.64,57173
2021-04-23,298.69,302.59,297.15,301.13,12072814.0,300.15,62743
2021-04-26,303.34,305.8,301.56,303.04,11275148.0,303.288,55427
2021-04-27,304.28,305.34,301.11,303.57,10163656.0,303.974,54703
2021-04-28,307.5,310.92,305.37,307.1,19371498.0,307.843,112228
2021-04-29,330.17,331.81,321.61,329.51,40785411.0,326.676,200867
2021-04-30,326.18,329.82,324.5,325.08,17435905.0,326.486,89303
2021-05-03,326.17,328.55,321.84,322.58,12300170.0,324.513,68486
2021-05-04,320.02,322.19,313.12,318.36,15476057.0,315.789,80830
2021-05-05,318.17,321.06,314.49,315.02,9819601.0,317.678,52261
2021-05-06,314.52,320.24,313.27,320.02,12829499.0,317.21,67059
2021-05-07,322.57,322.94,318.75,319.08,10342931.0,320.561,61139
2021-05-10,314.35,314.67,304.83,305.97,16577468.0,307.982,89580
2021-05-11,300.75,306.84,299.69,306.53,11917513.0,303.768,70550
2021-05-12,301.13,304.96,298.19,302.55,15410995.0,301.842,87979
2021-05-13,306.09,308.86,302.77,305.26,11179473.0,305.811,61157
2021-05-14,309.54,316.85,309.08,315.94,13479981.0,313.84,69510
2021-05-17,313.69,315.68,311.58,315.46,9293697.0,313.751,51322
2021-05-18,315.69,316.5,309.81,309.96,9865096.0,313.696,51143
2021-05-19,304.0,314.66,303.57,313.59,12077721.0,310.16,63297
2021-05-20,313.57,319.25,313.16,318.61,10365458.0,317.365,60100
2021-05-21,319.29,319.93,315.81,316.23,8809765.0,317.725,50411
2021-05-24,318.21,325.95,318.03,324.63,10688783.0,324.064,57583
2021-05-25,327.06,329.18,324.8,327.79,11291354.0,327.515,54271
2021-05-26,328.2,329.83,325.82,327.66,6240646.0,327.544,35205
2021-05-27,327.77,333.78,326.76,332.75,10081955.0,330.791,56531
2021-05-28,331.0,332.87,328.33,328.73,7316004.0,330.467,42210
