date,open,high,low,close,volume,average,barCount
2021-04-01,13.57,13.87,13.51,13.81,162622760.0,13.725975,24847
2021-04-05,13.87,14.01,13.73,13.99,130787560.0,13.8955,19763
2021-04-06,14.0,14.05,13.77,13.86,99760200.0,13.928,15076
2021-04-07,13.88,14.24,13.71,14.14,133642920.0,14.057725,20535
2021-04-08,14.25,14.47,14.25,14.32,134978000.0,14.347225,19385
2021-04-09,14.25,14.41,14.18,14.4,97914280.0,14.315525,14981
2021-04-12,14.29,15.35,14.14,15.21,570395880.0,14.9355,77407
2021-04-13,15.23,15.7,15.13,15.68,423757960.0,15.500075,55674
2021-04-14,15.63,15.72,15.23,15.28,216152320.0,15.479175,30124
2021-04-15,15.66,16.21,15.63,16.14,366799040.0,16.024525,50192
2021-04-16,16.06,16.17,15.87,15.91,182802920.0,15.9705,24121
2021-04-19,15.54,15.81,15.23,15.36,240201480.0,15.4801,31789
2021-04-20,15.32,15.5,14.96,15.17,185580800.0,15.173825,27433
2021-04-21,15.13,15.36,15.1,15.36,108143000.0,15.2521,16685
2021-04-22,15.38,15.44,14.78,14.85,151437640.0,15.051375,24410
2021-04-23,14.9,15.33,14.9,15.27,118579440.0,15.171075,18445
2021-04-26,15.18,15.48,15.13,15.48,111922560.0,15.332675,15029
2021-04-27,15.57,15.67,15.35,15.38,88968000.0,15.4489,13373
2021-04-28,15.36,15.53,15.22,15.28,113298640.0,15.34335,15497
2021-04-29,15.4,15.44,15.07,15.32,83692000.0,15.24615,13452
2021-04-30,15.16,15.37,15.0,15.01,90734720.0,15.1383,14659
2021-05-03,15.13,15.25,14.79,14.84,108821080.0,14.941675,15323
2021-05-04,14.64,14.64,14.01,14.35,229543840.0,14.240175,29220
2021-05-05,14.71,14.81,14.39,14.46,167974400.0,14.624275,21941
2021-05-06,14.5,14.57,14.22,14.52,103987560.0,14.40265,14486
2021-05-07,14.8,14.97,14.67,14.81,116216400.0,14.83245,17194
2021-05-10,14.77,14.81,14.25,14.27,141179880.0,14.398525,20329
2021-05-11,13.84,14.35,13.75,14.31,152690080.0,14.114375,21644
2021-05-12,14.01,14.26,13.71,13.76,157889800.0,13.890475,23489
2021-05-13,14.03,14.08,13.46,13.67,145511200.0,13.7512,20238
2021-05-14,13.89,14.33,13.75,14.24,129878320.0,14.119175,19056
2021-05-17,14.16,14.17,13.85,14.17,118052320.0,14.018525,16989
2021-05-18,14.27,14.4,14.0,14.02,106255800.0,14.210125,14715
2021-05-19,13.57,14.08,13.54,14.07,195852960.0,13.842675,28285
2021-05-20,14.3,14.68,14.27,14.61,179897480.0,14.53605,27164
2021-05-21,15.16,15.22,14.87,14.99,401540920.0,15.036075,55411
2021-05-24,15.2,15.74,15.18,15.61,332725920.0,15.555275,39248
2021-05-25,15.77,15.82,15.48,15.65,230269720.0,15.607125,26200
2021-05-26,15.73,15.79,15.59,15.7,163508120.0,15.675975,21842
2021-05-27,15.69,15.75,15.46,15.49,295609560.0,15.58215,38332
2021-05-28,15.5,16.28,15.5,16.24,395964000.0,16.07585,53822
2021-06-01,16.27,16.39,15.9,16.26,282943400.0,16.149925,34698
2021-06-02,16.26,16.92,16.24,16.78,381548520.0,16.681075,48324
2021-06-03,16.69,17.26,16.58,16.97,354387760.0,16.983575,45242
2021-06-04,17.12,17.66,17.1,17.58,357939280.0,17.511425,48704
2021-06-07,17.57,17.81,17.19,17.62,373399400.0,17.5002,41603
2021-06-08,17.53,17.62,17.25,17.46,190074680.0,17.419725,23475
2021-06-09,17.52,17.58,17.26,17.36,261498720.0,17.41545,27664
2021-06-10,17.35,17.49,17.18,17.43,165276000.0,17.38125,22562
2021-06-11,17.49,17.94,17.44,17.83,247877480.0,17.764525,31892
2021-06-14,17.91,18.04,17.66,18.02,178126720.0,17.880425,23677
2021-06-15,17.93,18.02,17.73,17.79,130366880.0,17.880825,17287
2021-06-16,17.79,17.95,17.58,17.81,172868840.0,17.81035,22164
2021-06-17,17.77,18.84,17.76,18.66,528619920.0,18.55515,62396
2021-06-18,18.78,19.38,18.58,18.64,553939520.0,19.02365,69009
2021-06-21,18.46,18.54,17.82,18.43,395922160.0,18.14975,51404
2021-06-22,18.47,18.96,18.39,18.89,352160760.0,18.7492,43308
2021-06-23,19.0,19.15,18.91,19.06,197132040.0,19.0578,24954
2021-06-24,19.23,19.42,19.09,19.21,183513080.0,19.26675,23075
2021-06-25,19.28,19.35,18.89,19.03,145825480.0,19.04965,19641
2021-06-28,19.35,20.08,19.32,19.99,293435120.0,19.866675,36464
2021-06-29,19.9,20.1,19.66,20.03,216062680.0,19.8787,28548
2021-06-30,19.99,20.16,19.86,20.0,186186880.0,20.004225,24691
2021-07-01,20.13,20.46,20.02,20.21,285443000.0,20.233925,38120
2021-07-02,20.45,20.51,20.29,20.49,195386920.0,20.399325,25192
2021-07-06,20.74,20.84,20.35,20.7,247979040.0,20.657475,31350
