date,open,high,low,close,volume,average,barCount
2021-04-01,323.07,324.71,322.81,324.57,36481823.0,323.942,192335
2021-04-05,327.11,331.84,326.88,331.05,29194398.0,330.078,156411
2021-04-06,330.73,332.83,330.02,330.82,24892609.0,331.288,131301
2021-04-07,330.33,332.48,329.37,331.62,23546505.0,331.362,120819
2021-04-08,334.56,335.27,333.73,335.08,23018259.0,334.606,107374
2021-04-09,333.68,337.32,332.92,337.11,24954736.0,335.301,114156
2021-04-12,336.04,337.1,334.73,336.67,19300033.0,336.074,96238
2021-04-13,338.24,341.08,338.02,340.6,23088005.0,339.682,120682
2021-04-14,340.85,340.98,335.67,336.51,34532384.0,338.05,156594
2021-04-15,339.49,342.01,339.33,341.61,25413363.0,340.875,126403
2021-04-16,342.15,342.23,340.08,342.01,22518960.0,341.48,112390
2021-04-19,340.4,341.58,336.9,338.88,27819079.0,338.833,143514
2021-04-20,338.2,339.52,334.38,336.41,30825020.0,336.493,157880
2021-04-21,335.08,339.48,333.97,339.29,25003154.0,337.11,116578
2021-04-22,338.89,339.9,334.01,335.2,37490082.0,336.904,185749
2021-04-23,335.85,340.77,335.84,339.42,24510906.0,338.954,109006
2021-04-26,339.66,341.92,338.9,341.63,19639938.0,340.654,93305
2021-04-27,341.93,342.15,339.17,340.15,23605800.0,340.378,102919
2021-04-28,339.81,340.85,338.33,339.0,24101284.0,339.49,109282
2021-04-29,342.35,342.8,336.9,340.22,28579156.0,339.686,139757
2021-04-30,337.7,340.26,337.05,337.99,27418774.0,338.268,135618
2021-05-03,339.24,340.0,335.73,336.19,23379728.0,337.28,112784
2021-05-04,333.56,333.89,326.21,330.14,50896747.0,329.071,272512
2021-05-05,332.25,333.14,328.23,329.03,35224217.0,330.835,195593
2021-05-06,328.76,331.67,326.45,331.51,37026519.0,329.044,205685
2021-05-07,334.39,336.65,333.06,334.2,36407451.0,334.862,205162
2021-05-10,332.78,332.96,325.55,325.76,44854108.0,328.268,235533
2021-05-11,319.7,326.13,319.02,325.31,54738025.0,323.321,307320
2021-05-12,320.23,322.62,316.0,316.89,64347170.0,318.428,374807
2021-05-13,319.92,322.4,316.9,319.34,50560463.0,319.925,281038
2021-05-14,322.63,327.33,322.08,326.39,35048632.0,325.248,193994
2021-05-17,324.61,325.35,321.45,324.41,29271367.0,323.476,166713
