date,open,high,low,close,volume,average,barCount
2021-04-01,22.87,23.15,22.8,23.15,19658690.0,22.995,29605
2021-04-05,23.04,23.2,22.89,23.09,13159344.0,23.033,19228
2021-04-06,23.28,23.48,23.25,23.34,17533552.0,23.381,22515
2021-04-07,23.25,23.47,23.2,23.33,11893656.0,23.351,16290
2021-04-08,23.68,23.78,23.58,23.62,14560017.0,23.673,20641
2021-04-09,23.29,23.49,23.25,23.41,13200083.0,23.417,17754
2021-04-12,23.28,23.32,22.93,23.04,19511368.0,23.064,23948
2021-04-13,23.51,23.66,23.46,23.51,17613514.0,23.539,23767
2021-04-14,23.43,23.65,23.42,23.59,9520091.0,23.545,15432
2021-04-15,23.78,24.13,23.76,24.03,27723891.0,24.016,33513
2021-04-16,24.2,24.22,24.06,24.09,17263982.0,24.145,26434
2021-04-19,23.93,24.05,23.78,23.98,14603885.0,23.939,16956
2021-04-20,23.9,24.22,23.9,23.96,18070164.0,24.036,22303
2021-04-21,24.15,24.74,24.12,24.7,31183361.0,24.53,35338
2021-04-22,24.43,24.47,24.11,24.21,23603373.0,24.308,26609
2021-04-23,24.33,24.39,23.98,24.14,16354948.0,24.161,21524
2021-04-26,24.33,24.33,24.17,24.3,9692569.0,24.267,13584
2021-04-27,24.45,24.53,24.34,24.39,12048035.0,24.431,17426
2021-04-28,24.1,24.4,23.97,24.4,19708653.0,24.191,28377
2021-04-29,24.22,24.27,23.85,24.25,21745755.0,24.094,29610
2021-04-30,24.21,24.27,23.94,24.01,15845039.0,24.09,20759
2021-05-03,24.61,25.05,24.51,24.96,34030549.0,24.894,45548
2021-05-04,25.0,25.16,24.21,24.57,35875620.0,24.622,51780
2021-05-05,24.5,24.6,24.42,24.57,11637413.0,24.525,17053
2021-05-06,24.9,25.48,24.89,25.37,30108394.0,25.309,42995
2021-05-07,25.28,25.5,25.17,25.47,23221888.0,25.391,32343
2021-05-10,25.8,25.87,25.26,25.35,26255878.0,25.491,36743
2021-05-11,25.23,25.67,25.19,25.67,21108022.0,25.477,30784
2021-05-12,25.4,25.57,25.05,25.09,30951946.0,25.284,36974
2021-05-13,24.97,25.19,24.92,25.16,22842224.0,25.07,27221
2021-05-14,25.39,25.5,25.29,25.46,18712827.0,25.394,22568
2021-05-17,25.56,26.25,25.55,26.19,39295539.0,25.987,47879
2021-05-18,26.37,26.39,25.98,26.15,26007134.0,26.176,29168
2021-05-19,25.69,26.2,25.49,25.73,41073024.0,25.824,54171
2021-05-20,25.81,25.98,25.65,25.79,19658174.0,25.823,24798
2021-05-21,25.98,25.99,25.23,25.53,29723716.0,25.511,38443
2021-05-24,25.73,25.89,25.64,25.75,14539308.0,25.761,18790
2021-05-25,25.53,26.01,25.51,25.99,23220932.0,25.858,30018
2021-05-26,25.87,25.96,25.6,25.67,21193933.0,25.775,23999
2021-05-27,25.67,25.87,25.53,25.85,17034630.0,25.739,20998
2021-05-28,25.63,25.95,25.61,25.9,19974781.0,25.822,23725
2021-06-01,26.38,26.43,25.83,25.84,23316435.0,26.076,31982
2021-06-02,25.96,26.15,25.89,26.15,13610237.0,26.026,23614
2021-06-03,25.44,25.49,25.07,25.46,27894605.0,25.3,38506
2021-06-04,25.71,25.83,25.7,25.78,16791502.0,25.763,21698
2021-06-07,25.8,25.93,25.71,25.9,14625365.0,25.841,20070
2021-06-08,25.72,25.8,25.51,25.61,21726098.0,25.669,25059
2021-06-09,25.83,25.97,25.71,25.78,17864071.0,25.84,18154
2021-06-10,25.74,26.01,25.66,25.97,20503472.0,25.884,25042
2021-06-11,26.14,26.21,25.87,25.87,21295717.0,26.017,24012
2021-06-14,25.59,25.99,25.56,25.84,18370152.0,25.866,19787
2021-06-15,25.68,25.71,25.4,25.65,17232126.0,25.584,21302
2021-06-16,25.72,25.81,25.25,25.26,38301191.0,25.502,41143
2021-06-17,24.36,24.47,23.89,24.05,68579641.0,24.135,74793
2021-06-18,24.09,24.22,23.87,23.88,31406520.0,24.068,39964
2021-06-21,24.08,24.14,23.95,24.08,17916495.0,24.063,22600
2021-06-22,23.96,24.0,23.84,23.85,15431319.0,23.92,18422
2021-06-23,24.05,24.38,23.9,23.93,16979295.0,24.157,20552
2021-06-24,24.2,24.27,23.98,24.04,15752820.0,24.108,18689
2021-06-25,24.33,24.33,24.08,24.18,11409189.0,24.191,14576
2021-06-28,24.23,24.31,24.16,24.21,12646919.0,24.225,14160
2021-06-29,23.85,23.97,23.75,23.89,17443787.0,23.876,21162
2021-06-30,23.99,24.25,23.95,24.22,18055680.0,24.132,21092
2021-07-01,24.34,24.36,24.05,24.11,13025773.0,24.169,16246
2021-07-02,24.48,24.63,24.3,24.55,18910976.0,24.489,28452
2021-07-06,24.65,24.69,24.11,24.23,21177036.0,24.345,26158
2021-07-07,24.39,24.44,24.08,24.24,23523279.0,24.232,19687
2021-07-08,24.24,24.26,23.92,24.01,20583116.0,24.059,22978
2021-07-09,24.07,24.29,24.05,24.19,10178495.0,24.202,12902
2021-07-12,24.2,24.34,24.05,24.28,11964095.0,24.251,14207
2021-07-13,24.15,24.31,24.05,24.08,13853726.0,24.166,15888
2021-07-14,24.51,24.53,24.15,24.33,23547095.0,24.321,37212
2021-07-15,24.38,24.44,24.27,24.38,13219735.0,24.369,14721
2021-07-16,24.16,24.23,23.72,23.77,29190037.0,23.883,32088
2021-07-19,23.47,23.51,23.18,23.29,34204800.0,23.311,39386
2021-07-20,23.24,23.35,23.0,23.14,23266252.0,23.137,23387
2021-07-21,23.19,23.46,23.18,23.42,16150765.0,23.353,16979
2021-07-22,23.32,23.6,23.18,23.56,13579745.0,23.406,14292
2021-07-23,23.35,23.41,23.17,23.35,12117862.0,23.315,13463
2021-07-26,23.35,23.45,23.32,23.36,9082947.0,23.374,10830
2021-07-27,23.3,23.31,22.69,22.96,26207891.0,22.92,27372
2021-07-28,22.9,23.18,22.81,23.17,18749082.0,23.034,21302
2021-07-29,23.64,23.91,23.64,23.72,26998728.0,23.803,29448
2021-07-30,23.67,23.74,23.49,23.63,13306658.0,23.627,16718
2021-08-02,23.47,23.67,23.47,23.53,13876832.0,23.594,13861
2021-08-03,23.66,23.72,23.56,23.68,9877376.0,23.654,11724
2021-08-04,24.02,24.07,23.46,23.54,21993746.0,23.68,21514
2021-08-05,23.55,23.58,23.24,23.3,13992357.0,23.383,16343
2021-08-06,22.67,22.69,22.42,22.52,33822546.0,22.529,40710
2021-08-09,22.09,22.16,21.53,21.75,42658923.0,21.795,51803
2021-08-10,21.6,21.76,21.55,21.62,14886562.0,21.651,21172
2021-08-11,21.77,21.86,21.63,21.84,13865722.0,21.771,19798
2021-08-12,21.63,21.63,21.32,21.5,16280202.0,21.466,19796
2021-08-13,21.76,22.09,21.7,21.97,18490762.0,21.952,20792
2021-08-16,22.0,22.15,21.89,22.1,12215947.0,22.036,15369
2021-08-17,22.03,22.15,21.84,21.9,17040283.0,21.935,16310
2021-08-18,21.88,21.88,21.58,21.76,17526697.0,21.739,22779
2021-08-19,21.67,21.69,21.43,21.51,15482623.0,21.551,19836
2021-08-20,21.45,21.54,21.19,21.35,14698696.0,21.391,19602
2021-08-23,21.85,21.95,21.72,21.88,16639451.0,21.869,19104
2021-08-24,22.1,22.2,21.97,22.08,16535197.0,22.124,17835
2021-08-25,22.08,22.13,21.84,22.09,14740349.0,21.998,15372
2021-08-26,21.9,21.98,21.71,21.85,14608085.0,21.842,17863
2021-08-27,21.71,22.35,21.62,22.33,36249929.0,22.057,34178
2021-08-30,22.35,22.38,22.15,22.26,12299603.0,22.229,15983
2021-08-31,22.31,22.38,22.05,22.14,16688942.0,22.186,20702
2021-09-01,22.36,22.48,22.31,22.37,15822291.0,22.392,17812
2021-09-02,22.27,22.27,22.03,22.14,16145463.0,22.138,19761
2021-09-03,22.6,23.04,22.54,22.88,26567925.0,22.834,30269
2021-09-07,22.67,22.75,22.38,22.51,21295041.0,22.541,23709
2021-09-08,22.47,22.49,22.14,22.17,22941506.0,22.259,25108
2021-09-09,22.44,22.45,22.17,22.27,17631319.0,22.289,18561
2021-09-10,22.31,22.38,21.99,21.99,16746702.0,22.168,19539
2021-09-13,21.8,22.1,21.77,21.99,17002428.0,21.972,21125
2021-09-14,22.04,22.19,21.87,22.1,17728426.0,22.04,20143
2021-09-15,22.06,22.15,21.95,22.07,12981608.0,22.041,14081
2021-09-16,21.34,21.35,20.93,21.25,50654514.0,21.104,47169
2021-09-17,20.99,21.01,20.68,20.74,42670257.0,20.821,41273
2021-09-20,20.64,20.85,20.52,20.59,23008901.0,20.659,28965
2021-09-21,20.87,21.05,20.72,20.84,21941658.0,20.892,25921
2021-09-22,21.09,21.44,20.92,20.99,44327655.0,21.173,50995
2021-09-23,20.94,21.05,20.87,20.91,20268852.0,20.967,22199
2021-09-24,20.51,20.83,20.48,20.71,21334266.0,20.681,23829
2021-09-27,20.97,21.16,20.88,20.94,15955499.0,21.022,19391
2021-09-28,20.83,20.89,20.59,20.78,25926455.0,20.762,26838
2021-09-29,20.15,20.23,19.83,19.95,52631381.0,19.966,54353
2021-09-30,20.19,20.59,20.14,20.52,58283933.0,20.424,56655
2021-10-01,20.81,20.92,20.68,20.83,26089342.0,20.823,29989
2021-10-04,20.76,21.03,20.7,20.98,23837567.0,20.903,29887
2021-10-05,20.84,20.98,20.71,20.92,19419191.0,20.871,20955
2021-10-06,20.75,21.01,20.65,20.96,20394793.0,20.844,23128
2021-10-07,20.79,21.1,20.77,20.9,16809455.0,20.951,19072
2021-10-08,21.39,21.44,20.94,20.95,29872307.0,21.153,28537
2021-10-11,20.97,21.13,20.88,20.88,13797268.0,21.006,16452
