date,open,high,low,close,volume,average,barCount
2021-04-01,398.4,400.67,398.18,400.61,48290852.0,399.396,249880
2021-04-05,403.46,406.94,403.38,406.36,58126466.0,405.794,282909
2021-04-06,405.76,407.24,405.4,406.12,42594994.0,406.415,211429
2021-04-07,405.94,406.96,405.45,406.59,40025570.0,406.315,204221
2021-04-08,407.93,408.58,406.93,408.52,36995295.0,407.973,186663
2021-04-09,408.39,411.67,408.26,411.49,44095610.0,409.811,207128
2021-04-12,410.84,411.93,410.2,411.64,40613595.0,411.112,208002
2021-04-13,411.54,413.53,411.12,412.86,42376624.0,412.331,201233
2021-04-14,412.83,413.96,410.87,411.45,46872944.0,412.334,254748
2021-04-15,413.74,416.16,413.69,415.87,45599507.0,415.07,240408
2021-04-16,417.25,417.91,415.73,417.26,48103656.0,416.978,234839
2021-04-19,416.24,416.74,413.79,415.21,53598374.0,415.015,289735
2021-04-20,413.91,414.68,410.59,412.17,53373595.0,412.29,302382
2021-04-21,411.51,416.29,411.36,416.07,48082048.0,414.494,232903
2021-04-22,415.88,416.78,411.13,412.27,74951061.0,413.742,413858
2021-04-23,412.87,418.25,412.79,416.74,47041113.0,416.239,239944
2021-04-26,417.44,418.22,416.97,417.61,33452814.0,417.677,182568
2021-04-27,417.93,418.14,416.3,417.52,31465576.0,417.393,180039
2021-04-28,417.83,419.01,416.9,417.4,38319491.0,417.795,216428
2021-04-29,420.33,420.72,416.44,420.06,57874225.0,418.979,316854
2021-04-30,417.63,418.54,416.34,417.3,58526358.0,417.285,316267
2021-05-03,419.43,419.84,417.66,418.2,42812863.0,418.714,245842
2021-05-04,416.08,416.6,411.67,415.62,73725627.0,413.838,417839
2021-05-05,417.38,417.63,414.94,415.75,45487442.0,416.365,260832
2021-05-06,415.83,419.21,413.67,419.07,58474689.0,416.529,339863
2021-05-07,419.91,422.82,419.16,422.12,47895485.0,421.888,279999
2021-05-10,422.5,422.74,417.81,417.94,60675375.0,420.454,331232
2021-05-11,413.1,415.27,410.06,414.21,91900172.0,413.272,546781
2021-05-12,411.23,412.59,404.0,405.41,97771885.0,407.92,569095
2021-05-13,407.07,412.35,407.02,410.28,86486454.0,410.4,499176
2021-05-14,413.2,417.49,413.18,416.58,56440389.0,415.883,300567
2021-05-17,415.39,416.39,413.36,415.52,49484378.0,414.812,295949
2021-05-18,415.8,416.06,411.77,411.94,44748296.0,414.487,264504
2021-05-19,406.92,411.05,405.33,410.86,80506327.0,408.14,494347
2021-05-20,411.8,416.63,411.67,415.28,57708509.0,414.787,332148
2021-05-21,416.87,418.2,414.45,414.94,50693319.0,416.127,312676
2021-05-24,417.34,420.32,417.08,419.17,37787987.0,419.228,208360
2021-05-25,420.33,420.71,417.62,418.24,41059273.0,418.852,250589
2021-05-26,418.87,419.61,417.76,419.07,33123848.0,418.855,195419
2021-05-27,420.17,420.72,419.12,419.29,42573374.0,419.848,258296
2021-05-28,420.97,421.25,419.79,420.04,37905746.0,420.582,220658
2021-06-01,422.57,422.72,419.2,419.67,37991962.0,420.31,231749
2021-06-02,420.37,421.23,419.29,420.33,32147330.0,420.22,193819
2021-06-03,417.87,419.99,416.28,418.77,43319040.0,418.66,256425
2021-06-04,420.75,422.92,420.68,422.6,34318552.0,422.007,200637
2021-06-07,422.59,422.78,421.19,422.19,32237011.0,421.871,189548
2021-06-08,423.24,423.25,420.32,422.28,33648889.0,422.151,193724
2021-06-09,423.18,423.26,421.41,421.65,29603473.0,422.46,168186
2021-06-10,422.96,424.63,421.55,423.61,35359647.0,423.483,202301
2021-06-11,424.19,424.42,422.82,424.31,27518218.0,423.683,153067
2021-06-14,424.43,425.29,423.1,425.26,27509719.0,423.807,161747
2021-06-15,425.43,425.46,423.54,424.48,32346603.0,424.43,185963
2021-06-16,424.63,424.87,419.94,422.11,54533237.0,422.383,337114
2021-06-17,421.67,423.02,419.32,421.97,51630382.0,421.858,282045
2021-06-18,417.08,417.83,414.7,414.92,60605189.0,416.499,340262
2021-06-21,416.8,421.06,415.93,420.86,49959606.0,419.574,289530
2021-06-22,420.85,424.0,420.08,423.11,39834327.0,422.288,226216
2021-06-23,423.18,424.05,422.51,422.6,32785078.0,423.28,180494
2021-06-24,424.89,425.55,424.62,425.1,31151444.0,425.12,179335
2021-06-25,425.9,427.1,425.55,426.61,38243250.0,426.378,213163
2021-06-28,427.17,427.65,425.89,427.47,30996675.0,426.769,174118
2021-06-29,427.89,428.56,427.13,427.7,26376041.0,427.897,146206
2021-06-30,427.2,428.78,427.18,428.06,35945514.0,428.039,192221
2021-07-01,428.83,430.6,428.8,430.43,37526382.0,429.816,194306
2021-07-02,431.67,434.1,431.33,433.72,39305292.0,432.943,191060
