date,open,high,low,close,volume,average,barCount
2021-04-01,136.55,137.62,136.3,137.51,11809104.0,137.07,48252
2021-04-05,136.55,136.97,135.94,136.91,7087171.0,136.457,35238
2021-04-06,137.16,137.98,137.01,137.84,7788798.0,137.604,37993
2021-04-07,137.44,138.1,136.88,136.88,9866924.0,137.437,40377
2021-04-08,137.39,138.07,137.36,138.01,6511223.0,137.803,29451
2021-04-09,137.5,138.19,137.09,137.51,7212853.0,137.714,33684
2021-04-12,137.46,137.53,137.1,137.45,6375416.0,137.318,27153
2021-04-13,137.31,138.51,137.2,138.48,9897280.0,137.953,41228
2021-04-14,138.03,138.24,137.57,138.04,6282137.0,137.908,28521
2021-04-15,139.49,140.98,139.45,140.35,18341083.0,140.419,72516
2021-04-16,139.1,139.73,138.93,139.26,12190940.0,139.362,44400
2021-04-19,138.74,139.31,138.55,138.86,12728747.0,138.837,34753
2021-04-20,138.45,139.76,138.43,139.5,9934845.0,139.409,35144
2021-04-21,139.54,139.91,139.07,139.78,9985923.0,139.515,34650
2021-04-22,140.0,140.39,139.2,140.39,12087700.0,139.964,49237
2021-04-23,140.4,140.47,139.49,140.06,10538521.0,139.907,39753
2021-04-26,140.15,140.51,139.85,139.86,8237736.0,140.077,28826
2021-04-27,139.59,139.82,138.52,138.64,9351811.0,139.07,41174
2021-04-28,138.64,138.89,137.96,138.73,13812030.0,138.503,64055
2021-04-29,137.45,138.36,137.12,138.32,13437378.0,137.837,55828
2021-04-30,138.51,138.73,137.98,138.64,14137435.0,138.427,59840
2021-05-03,138.7,139.65,138.28,138.52,13817290.0,138.816,64273
2021-05-04,139.49,140.16,139.15,139.46,15966348.0,139.575,74819
2021-05-05,139.01,139.85,138.92,139.69,10098565.0,139.341,43955
2021-05-06,139.25,140.19,139.2,139.92,12175335.0,139.95,52296
2021-05-07,140.1,140.6,138.91,139.23,15378113.0,139.549,67156
2021-05-10,138.95,139.25,137.69,137.82,12858547.0,138.252,58797
2021-05-11,137.23,137.48,136.77,137.04,12590785.0,137.107,59047
2021-05-12,136.67,136.8,135.36,135.6,17608689.0,135.979,79767
2021-05-13,135.93,136.37,135.63,135.81,11379729.0,135.958,55324
2021-05-14,136.53,137.08,136.22,137.08,13072366.0,136.671,53273
2021-05-17,136.83,137.17,136.56,136.79,5269213.0,136.841,25071
2021-05-18,136.4,136.57,136.07,136.44,6333454.0,136.333,27942
2021-05-19,136.54,137.3,135.62,136.11,12591712.0,136.449,63760
2021-05-20,136.76,137.49,136.67,137.23,10735133.0,137.188,45740
2021-05-21,137.66,137.7,137.06,137.67,8073259.0,137.417,37288
2021-05-24,137.99,138.58,137.89,138.18,5732896.0,138.213,26176
2021-05-25,138.63,139.5,138.62,139.46,8903782.0,139.097,37662
2021-05-26,139.59,139.91,138.88,139.22,8406576.0,139.44,36869
2021-05-27,138.52,138.69,137.99,138.66,9374269.0,138.363,44661
2021-05-28,138.58,139.3,138.34,138.44,8845906.0,138.91,41831
2021-06-01,137.82,138.26,137.25,138.21,9016481.0,137.811,41150
2021-06-02,138.55,138.79,138.32,138.53,5225384.0,138.564,24777
2021-06-03,138.51,138.51,137.84,138.01,8825155.0,138.156,37910
2021-06-04,138.54,139.9,138.52,139.9,13083150.0,139.41,52588
2021-06-07,139.59,139.71,139.32,139.47,7021237.0,139.55,26749
2021-06-08,140.65,140.68,140.21,140.45,8447641.0,140.436,39450
2021-06-09,141.77,142.15,141.25,141.69,10574228.0,141.638,43814
2021-06-10,140.83,142.56,140.68,142.54,16652619.0,141.722,68026
2021-06-11,142.31,142.4,141.84,142.31,7808594.0,142.167,33386
2021-06-14,142.1,142.1,141.01,141.22,7135557.0,141.311,32703
2021-06-15,140.8,141.09,140.48,141.05,11550022.0,140.801,48836
2021-06-16,141.4,141.67,140.21,140.93,16384262.0,141.054,77396
2021-06-17,141.86,144.93,141.64,143.04,28413563.0,143.489,122708
2021-06-18,144.28,146.04,144.12,145.73,22108502.0,145.156,103470
2021-06-21,144.39,144.49,143.02,143.29,12557439.0,143.714,63607
2021-06-22,142.17,143.68,142.12,143.64,11444607.0,143.109,56644
2021-06-23,143.13,143.5,142.71,143.27,9427116.0,143.052,47803
2021-06-24,143.42,143.9,143.33,143.5,7282916.0,143.588,38787
2021-06-25,143.27,143.4,141.37,142.01,13397832.0,142.05,59077
2021-06-28,142.72,143.8,142.7,143.47,8982646.0,143.391,40100
2021-06-29,143.1,143.72,143.04,143.71,7747494.0,143.444,36498
2021-06-30,144.25,144.93,144.07,144.35,13547972.0,144.502,58789
2021-07-01,143.98,144.31,143.53,144.17,9291745.0,143.826,39215
2021-07-02,144.23,145.04,144.11,145.04,7654811.0,144.699,35964
2021-07-06,145.72,146.99,145.71,146.74,15624189.0,146.441,72669
2021-07-07,147.57,148.56,147.22,148.04,17866595.0,147.993,80532
2021-07-08,148.88,149.44,148.17,148.62,14975744.0,148.733,68697
2021-07-09,146.87,146.99,146.49,146.53,10802341.0,146.713,49772
2021-07-12,147.09,147.23,146.17,146.34,8780941.0,146.5,43019
2021-07-13,146.82,147.46,144.64,145.22,18426821.0,145.861,82310
2021-07-14,146.01,146.92,145.81,146.87,13677696.0,146.417,60789
2021-07-15,147.95,148.6,147.03,148.49,14072626.0,148.041,63417
2021-07-16,147.34,148.34,147.32,148.21,10460227.0,148.021,47584
2021-07-19,150.95,151.95,150.62,151.46,31436232.0,151.334,134054
2021-07-20,152.53,152.71,149.76,150.0,21204041.0,150.67,95948
2021-07-21,148.18,148.5,146.67,148.1,15253608.0,147.966,71410
2021-07-22,148.11,149.81,148.06,149.5,15219271.0,149.094,68759
2021-07-23,147.94,148.66,147.89,148.5,10750491.0,148.377,45334
2021-07-26,149.0,149.06,147.88,148.06,9249461.0,148.471,41389
2021-07-27,149.34,149.69,148.99,149.64,9582234.0,149.419,46647
2021-07-28,148.67,149.67,148.27,149.65,12690816.0,148.937,65035
2021-07-29,148.78,149.22,148.53,148.82,8535489.0,148.863,42981
2021-07-30,149.13,149.72,149.06,149.52,12451600.0,149.491,54313
2021-08-02,149.45,151.23,149.18,150.67,16710093.0,150.439,72202
2021-08-03,150.75,151.23,150.39,150.75,11055681.0,150.798,49315
2021-08-04,151.5,151.82,149.72,151.06,16017804.0,150.694,78775
2021-08-05,150.76,150.92,150.0,150.29,13194660.0,150.401,54771
2021-08-06,148.32,148.76,147.69,147.78,16537782.0,148.141,66812
2021-08-09,148.15,148.56,147.23,147.25,11187715.0,147.675,52409
2021-08-10,147.49,147.57,146.56,146.57,11384723.0,146.821,52814
2021-08-11,146.41,147.23,145.71,146.48,15320942.0,146.334,74240
2021-08-12,146.09,146.44,145.43,146.24,12626935.0,146.034,55859
