date,open,high,low,close,volume,average,barCount
2021-04-01,23.66,24.01,23.61,23.98,121109044.0,23.8505,128670
2021-04-05,24.55,25.6,24.49,25.42,111999644.0,25.1415,121859
2021-04-06,25.34,25.82,25.18,25.36,105796452.0,25.477,118258
2021-04-07,25.25,25.75,25.03,25.54,87648156.0,25.47825,93555
2021-04-08,26.23,26.39,26.03,26.34,100078812.0,26.2255,103730
2021-04-09,26.0,26.86,25.83,26.82,110204284.0,26.35675,111287
2021-04-12,26.57,26.81,26.25,26.71,97864492.0,26.565,92371
2021-04-13,27.1,27.75,27.03,27.63,100028492.0,27.403,98124
2021-04-14,27.7,27.73,26.44,26.66,144727336.0,27.0905,161182
2021-04-15,27.35,27.94,27.31,27.84,105309960.0,27.66175,118262
2021-04-16,27.98,28.0,27.48,27.95,99607204.0,27.7985,104033
2021-04-19,27.55,27.84,26.69,27.19,140769248.0,27.178,166329
2021-04-20,27.01,27.33,26.1,26.6,139222188.0,26.62175,175729
2021-04-21,26.27,27.31,26.0,27.27,98324604.0,26.726,108871
2021-04-22,27.17,27.41,25.99,26.28,156359752.0,26.77,191199
2021-04-23,26.43,27.58,26.43,27.27,93347408.0,27.1155,104090
2021-04-26,27.32,27.87,27.14,27.81,86794188.0,27.5475,88614
2021-04-27,27.87,27.92,27.19,27.44,107602892.0,27.48325,115492
2021-04-28,27.35,27.6,26.99,27.16,105822728.0,27.28,120975
2021-04-29,27.95,28.06,26.65,27.43,129468836.0,27.309,135025
2021-04-30,26.82,27.45,26.67,26.92,104266736.0,27.00825,110323
2021-05-03,27.19,27.37,26.36,26.48,120218424.0,26.71975,135141
2021-05-04,25.85,25.92,24.11,25.08,185124616.0,24.74975,225044
2021-05-05,25.51,25.71,24.6,24.79,120982992.0,25.20625,139573
2021-05-06,24.72,25.37,24.2,25.33,151319080.0,24.78125,192953
2021-05-07,26.0,26.52,25.69,25.95,135566708.0,26.11,160175
2021-05-10,25.63,25.67,23.94,24.0,162693212.0,24.60525,208694
2021-05-11,22.65,24.06,22.5,23.88,197894668.0,23.4685,247400
2021-05-12,22.75,23.29,21.83,22.06,202261400.0,22.34975,256269
2021-05-13,22.66,23.17,22.02,22.53,181071636.0,22.66075,235199
2021-05-14,23.22,24.22,23.11,23.99,125379152.0,23.737,150856
2021-05-17,23.63,23.79,22.93,23.59,120603472.0,23.37525,150913
2021-05-18,23.8,24.07,23.05,23.09,116639464.0,23.698,128410
2021-05-19,21.91,23.25,21.83,23.18,165662020.0,22.601,213602
2021-05-20,23.51,24.72,23.46,24.52,123251128.0,24.2785,134055
2021-05-21,24.89,24.99,24.03,24.11,111658868.0,24.38275,133261
2021-05-24,24.64,25.59,24.56,25.32,78911448.0,25.24575,81203
2021-05-25,25.69,25.86,25.16,25.44,92332404.0,25.41525,105239
2021-05-26,25.59,25.81,25.43,25.7,67603096.0,25.64275,67969
2021-05-27,25.59,25.79,25.36,25.4,70110516.0,25.57025,73745
2021-05-28,25.69,26.03,25.58,25.65,68908904.0,25.8025,74412
2021-06-01,25.96,26.08,25.07,25.4,91059244.0,25.4895,98951
2021-06-02,25.49,25.74,25.13,25.53,72926948.0,25.49025,72351
2021-06-03,24.86,25.17,24.34,24.73,105063732.0,24.78825,109289
2021-06-04,25.16,26.1,25.13,26.0,74603928.0,25.80825,76429
2021-06-07,25.85,26.24,25.7,26.23,52297856.0,25.92675,50776
2021-06-08,26.66,26.86,25.86,26.25,81732880.0,26.3125,88374
2021-06-09,26.59,26.78,26.23,26.29,68590092.0,26.49075,76180
2021-06-10,26.36,27.13,26.25,27.09,102162544.0,26.866,115707
2021-06-11,27.1,27.31,26.94,27.31,57569480.0,27.13375,62441
2021-06-14,27.41,28.08,27.13,28.07,79881936.0,27.5665,83115
2021-06-15,28.0,28.09,27.36,27.55,79044056.0,27.672,92611
2021-06-16,27.66,27.92,26.38,27.25,137647328.0,27.23575,169921
2021-06-17,26.99,28.52,26.98,28.27,123790212.0,28.03875,147326
2021-06-18,27.85,28.15,27.42,27.6,113320088.0,27.81525,151157
2021-06-21,27.65,28.2,27.1,28.1,94181868.0,27.81875,109014
