date,open,high,low,close,volume,average,barCount
2021-04-01,229.4,230.81,219.81,220.58,65090136.0,225.3153333333333,105126
2021-04-05,235.97,236.05,228.23,230.35,76846986.0,232.3126666666667,113027
2021-04-06,230.1,232.18,227.12,230.54,55387251.0,230.11,78961
2021-04-07,229.0,230.46,222.61,223.66,51066516.0,226.8616666666667,77542
2021-04-08,225.79,229.85,223.88,227.93,44314062.0,227.5506666666667,70151
2021-04-09,225.95,226.99,223.14,225.67,37735674.0,225.0756666666667,63754
2021-04-12,228.57,234.93,227.36,233.99,50735709.0,232.6966666666667,80730
2021-04-13,237.56,254.33,236.89,254.11,82963749.0,247.367,127998
2021-04-14,256.9,260.26,242.68,244.08,87922809.0,251.6273333333333,141738
2021-04-15,247.82,247.9,240.44,246.28,50726511.0,244.0863333333333,79498
2021-04-16,243.11,249.8,241.53,246.59,50727291.0,245.558,81142
2021-04-19,239.87,241.8,230.6,238.21,72465828.0,236.048,116347
2021-04-20,239.14,245.75,236.89,239.66,69057969.0,240.788,101688
2021-04-21,234.86,248.28,232.67,248.04,54217665.0,240.988,90545
2021-04-22,247.15,251.26,239.35,239.9,66200115.0,245.0716666666667,104958
2021-04-23,239.92,245.79,238.49,243.13,49139046.0,243.0,78321
2021-04-26,247.0,249.77,244.2,246.07,47968176.0,246.1196666666667,73540
2021-04-27,239.32,241.33,234.45,234.91,52094751.0,237.0356666666667,87314
2021-04-28,232.15,236.17,231.2,231.47,38742084.0,233.1556666666667,63721
2021-04-29,233.17,234.08,222.87,225.67,51625545.0,226.951,80649
2021-04-30,222.53,238.49,222.05,236.48,73440933.0,232.9326666666667,135444
2021-05-03,234.6,235.33,226.83,228.3,49844793.0,230.075,78540
2021-05-04,226.27,227.82,219.23,224.53,52672119.0,222.3363333333333,83982
2021-05-05,227.17,228.43,222.45,223.65,40024218.0,224.9023333333333,65486
2021-05-06,226.92,227.01,216.67,221.18,51850536.0,220.9173333333333,83266
2021-05-07,221.91,227.84,220.07,224.12,42071595.0,224.1163333333333,72849
2021-05-10,221.63,221.68,209.2,209.68,56022915.0,214.226,92211
2021-05-11,199.73,209.03,198.53,205.73,82518030.0,204.5553333333333,130874
2021-05-12,200.83,206.8,195.59,196.63,60661848.0,200.7226666666667,96649
2021-05-13,200.52,202.15,186.67,190.56,79324248.0,193.183,132963
