date,open,high,low,close,volume,average,barCount
2021-04-01,41.47,42.18,40.3,41.84,10287358.0,41.421,43602
2021-04-05,41.21,41.26,39.52,40.28,8698697.0,40.328,25787
2021-04-06,41.16,41.69,40.58,40.7,5152323.0,41.119,15247
2021-04-07,40.54,41.05,39.91,40.86,8277837.0,40.528,21286
2021-04-08,40.64,40.93,40.27,40.82,3505352.0,40.636,11116
2021-04-09,40.62,40.87,40.48,40.64,3070639.0,40.656,9425
2021-04-12,41.28,41.57,40.77,40.9,4604283.0,41.104,12649
2021-04-13,41.33,41.48,41.15,41.4,4236731.0,41.318,12227
2021-04-14,42.15,43.39,42.01,43.04,8194235.0,42.895,24914
2021-04-15,43.06,43.44,42.88,43.27,3805119.0,43.209,12540
2021-04-16,43.34,43.38,42.98,43.18,4311312.0,43.172,14813
2021-04-19,43.22,43.49,43.05,43.32,2912725.0,43.265,9493
2021-04-20,43.35,43.42,42.04,42.74,5343620.0,42.699,17951
2021-04-21,41.79,42.55,41.71,41.77,4503908.0,42.045,16149
2021-04-22,42.24,42.26,41.6,42.09,2856596.0,41.985,10174
2021-04-23,41.91,42.62,41.85,42.46,3523438.0,42.354,12408
2021-04-26,41.78,42.52,41.74,42.33,2712325.0,42.167,9566
2021-04-27,42.66,43.19,42.48,43.11,2989290.0,42.831,10344
2021-04-28,43.44,43.97,43.36,43.53,4930860.0,43.606,17912
2021-04-29,44.47,44.61,43.84,44.26,4950853.0,44.248,15948
2021-04-30,43.38,43.55,43.05,43.27,4350967.0,43.314,15223
2021-05-03,43.56,44.09,43.55,43.98,2844022.0,43.894,12121
2021-05-04,44.74,44.91,44.33,44.87,4698407.0,44.68,15724
2021-05-05,45.23,45.54,44.39,44.66,6244662.0,45.076,20143
2021-05-06,44.8,44.82,44.15,44.41,5960445.0,44.465,22520
2021-05-07,44.06,44.63,43.91,44.43,3707872.0,44.371,15307
2021-05-10,44.85,44.91,43.9,44.48,3762425.0,44.418,14960
2021-05-11,43.92,44.94,43.92,44.87,5837378.0,44.587,26012
2021-05-12,45.13,45.7,45.1,45.22,5879364.0,45.441,21889
2021-05-13,43.98,44.48,43.34,43.81,6307365.0,43.884,24538
2021-05-14,44.44,44.79,44.34,44.71,3997538.0,44.632,14685
2021-05-17,44.88,45.41,44.86,45.39,3075276.0,45.204,11198
2021-05-18,45.13,45.39,43.94,44.84,8408294.0,44.767,33232
2021-05-19,43.7,43.7,42.53,43.43,7920786.0,43.15,37568
2021-05-20,43.24,43.33,42.32,42.48,4696387.0,42.781,20848
2021-05-21,43.5,43.8,43.37,43.7,3438792.0,43.556,15359
2021-05-24,44.28,45.15,44.11,45.02,4237712.0,44.787,15183
2021-05-25,45.07,45.31,44.78,44.92,3228669.0,45.094,12254
2021-05-26,44.74,45.3,44.63,45.2,3012328.0,45.046,11727
2021-05-27,45.19,45.64,45.05,45.55,2889249.0,45.4,10910
2021-05-28,45.82,45.93,45.17,45.42,4286629.0,45.574,16933
2021-06-01,46.58,46.94,45.97,46.33,5449792.0,46.479,20034
2021-06-02,46.56,47.03,46.36,46.9,3325349.0,46.712,12058
2021-06-03,47.1,47.15,46.51,46.97,3008613.0,46.911,12503
2021-06-04,47.45,47.49,47.01,47.26,3345690.0,47.289,11773
2021-06-07,47.34,47.54,47.07,47.27,3488705.0,47.347,11542
2021-06-08,47.11,47.9,46.8,47.88,4540773.0,47.461,13665
2021-06-09,47.95,48.1,47.42,47.58,4054741.0,47.771,13139
2021-06-10,47.99,48.16,46.9,47.83,7615209.0,47.565,28613
2021-06-11,47.93,48.25,47.89,48.07,3567636.0,48.078,11296
2021-06-14,48.4,48.61,48.08,48.32,3736347.0,48.364,12198
2021-06-15,48.68,49.01,48.63,48.98,3982951.0,48.8,12155
2021-06-16,48.86,49.46,48.75,48.75,5631620.0,49.055,18485
2021-06-17,48.92,49.0,47.33,48.04,10028401.0,48.187,34956
2021-06-18,47.85,48.66,47.84,48.36,5626248.0,48.375,20690
2021-06-21,48.4,49.41,48.33,49.36,6751585.0,49.086,24243
2021-06-22,49.3,49.63,49.14,49.42,3438084.0,49.373,12144
2021-06-23,50.09,50.25,49.58,49.72,4302671.0,49.922,15568
2021-06-24,49.41,49.91,49.35,49.84,4922201.0,49.712,18165
2021-06-25,50.03,50.33,49.48,50.25,4884886.0,50.031,17945
2021-06-28,50.07,50.07,49.39,49.54,3983117.0,49.693,15558
2021-06-29,49.94,50.14,49.48,49.89,2424893.0,49.852,9600
2021-06-30,49.92,50.37,49.62,49.88,2565321.0,49.975,10871
2021-07-01,51.21,51.4,50.42,50.62,4073272.0,50.821,17940
2021-07-02,50.5,51.06,50.31,50.93,3959193.0,50.695,16373
2021-07-06,50.62,50.7,49.31,49.9,9843735.0,49.922,37865
2021-07-07,49.85,50.15,48.22,48.66,9140282.0,48.847,38026
2021-07-08,48.71,49.54,48.32,49.52,4711700.0,49.019,17081
2021-07-09,50.0,50.54,49.96,50.41,3696793.0,50.323,13736
2021-07-12,49.94,50.38,49.62,50.31,2140172.0,50.024,9647
2021-07-13,50.51,51.28,50.26,51.15,3922726.0,50.894,12408
2021-07-14,51.13,51.18,49.28,49.7,5548790.0,50.18,22015
2021-07-15,49.13,49.75,48.99,49.04,3370286.0,49.369,14169
2021-07-16,49.4,49.56,48.38,49.14,3027929.0,49.091,12718
2021-07-19,47.62,47.65,45.35,45.84,6920201.0,46.315,26653
2021-07-20,45.64,46.61,45.02,46.51,3892047.0,45.961,19700
2021-07-21,47.36,48.46,47.36,48.27,5387322.0,48.144,20979
2021-07-22,48.68,49.42,48.34,49.17,3362946.0,48.946,14830
2021-07-23,49.25,49.53,49.03,49.47,2385373.0,49.29,8975
2021-07-26,49.26,49.71,49.01,49.67,2217950.0,49.45,10327
2021-07-27,49.58,49.71,49.04,49.47,2279487.0,49.391,10437
2021-07-28,49.63,49.97,49.45,49.72,2050502.0,49.707,8693
2021-07-29,50.18,50.69,50.07,50.64,2349349.0,50.41,8776
2021-07-30,50.7,51.02,50.44,50.66,3187079.0,50.775,12585
2021-08-02,50.35,50.43,48.63,49.18,4896480.0,49.239,21988
2021-08-03,48.11,48.93,47.87,48.85,5957377.0,48.539,20659
2021-08-04,47.54,48.14,47.17,47.2,5830996.0,47.553,28022
2021-08-05,47.34,48.16,47.34,48.1,2677613.0,47.836,12002
2021-08-06,48.42,48.51,47.35,47.57,4362998.0,47.817,19729
2021-08-09,46.47,46.7,45.85,46.6,3870141.0,46.295,18595
2021-08-10,46.97,48.01,46.93,47.68,3248937.0,47.698,14656
2021-08-11,47.2,48.34,46.91,48.3,3705635.0,47.728,19569
2021-08-12,48.16,48.35,47.72,48.1,1907925.0,48.142,10056
2021-08-13,48.11,48.23,47.32,47.43,2520888.0,47.809,12083
2021-08-16,46.38,47.28,45.94,47.04,3772436.0,46.718,20184
2021-08-17,46.66,47.21,46.33,46.58,2166376.0,46.768,12035
2021-08-18,46.73,46.84,45.29,45.4,4490976.0,45.916,22950
2021-08-19,44.29,44.89,43.8,44.77,4461473.0,44.313,23237
2021-08-20,43.9,44.31,43.42,43.43,3447638.0,43.829,16421
2021-08-23,45.35,46.18,45.34,45.85,3512085.0,45.833,18252
2021-08-24,46.67,47.47,46.61,47.37,3646960.0,47.18,18590
2021-08-25,47.33,48.0,47.1,47.81,3861998.0,47.548,19813
2021-08-26,47.24,47.8,46.95,47.48,4229616.0,47.388,22065
2021-08-27,48.02,48.28,47.92,48.15,3520729.0,48.124,17377
2021-08-30,48.15,48.59,47.86,48.4,2644851.0,48.272,13116
2021-08-31,48.18,48.49,47.96,48.04,3047155.0,48.194,14824
2021-09-01,47.36,48.24,47.19,47.93,6967167.0,47.773,33327
2021-09-02,49.01,49.52,48.93,48.95,5085673.0,49.183,19316
2021-09-03,48.97,49.26,48.6,48.66,3793623.0,48.82,16656
2021-09-07,47.93,48.37,47.73,48.04,2929834.0,48.073,14145
2021-09-08,48.88,48.89,48.32,48.59,3456623.0,48.595,16782
2021-09-09,47.82,48.87,47.45,47.75,6010531.0,48.122,28511
2021-09-10,49.0,49.04,48.67,48.8,3178379.0,48.867,15028
2021-09-13,49.4,49.7,49.16,49.48,2578387.0,49.428,11735
2021-09-14,49.78,49.8,49.04,49.31,2384958.0,49.424,11984
2021-09-15,50.45,51.08,50.44,50.69,4494564.0,50.755,17776
2021-09-16,50.55,50.84,50.0,50.7,2248595.0,50.465,10873
2021-09-17,50.2,50.45,49.85,50.32,2617639.0,50.187,12220
2021-09-20,49.57,49.82,48.89,49.6,3636917.0,49.42,17023
2021-09-21,49.61,49.69,48.74,49.58,2732613.0,49.307,14210
2021-09-22,50.26,50.72,50.09,50.48,2478592.0,50.411,11146
2021-09-23,50.76,51.49,50.72,51.38,2588552.0,51.244,11901
2021-09-24,51.29,52.0,51.26,51.82,1932760.0,51.712,9245
2021-09-27,52.84,53.08,52.63,52.91,3678291.0,52.88,15727
2021-09-28,53.46,53.52,52.18,52.4,3949760.0,52.706,19311
2021-09-29,52.56,53.11,52.24,52.32,3651678.0,52.681,16554
2021-09-30,51.7,53.36,51.38,52.56,10760154.0,52.483,47832
2021-10-01,52.62,53.39,52.34,53.26,3550341.0,53.042,16615
2021-10-04,54.07,55.05,54.07,54.49,5532636.0,54.664,25901
2021-10-05,55.27,55.73,55.16,55.63,4099514.0,55.482,19232
2021-10-06,54.77,54.79,53.98,54.16,5973065.0,54.363,28336
2021-10-07,54.02,55.36,53.74,55.36,5167925.0,54.725,26783
2021-10-08,55.72,56.03,55.05,55.47,3823755.0,55.594,17181
2021-10-11,56.41,56.69,56.12,56.18,2757450.0,56.401,12460
2021-10-12,56.32,56.72,55.83,56.11,4161111.0,56.24,18739
2021-10-13,55.63,56.45,55.39,56.16,2293091.0,55.972,12424
2021-10-14,56.65,56.85,56.15,56.81,2413781.0,56.577,13836
2021-10-15,57.25,57.45,56.87,57.15,2438716.0,57.23,12694
