date,open,high,low,close,volume,average,barCount
2021-04-01,137.34,139.81,135.96,137.03,5607706.0,137.809,38211
2021-04-05,138.9,139.36,136.91,138.63,3716375.0,138.111,26305
2021-04-06,138.42,139.1,134.66,135.0,3094978.0,136.657,21567
2021-04-07,135.02,135.42,131.47,131.75,3080060.0,133.333,20425
2021-04-08,132.84,134.51,131.7,132.57,4099995.0,132.711,27615
2021-04-09,132.93,132.93,129.19,129.63,5108384.0,130.36,32077
2021-04-12,129.81,129.97,126.09,127.05,5394802.0,127.43,35321
2021-04-13,127.7,129.02,126.1,128.91,4087054.0,127.74,27825
2021-04-14,129.68,134.55,129.21,132.32,5387492.0,133.08,35062
2021-04-15,133.72,135.42,133.09,133.48,5449809.0,133.992,35212
2021-04-16,134.55,134.56,130.02,131.55,5051777.0,131.61,30392
2021-04-19,130.43,132.14,127.61,128.72,4351492.0,128.996,28746
2021-04-20,128.51,130.14,125.9,128.29,4564792.0,127.93,29611
2021-04-21,128.19,132.91,127.06,132.77,4019050.0,130.805,29158
2021-04-22,132.43,137.07,130.81,134.54,8352202.0,134.599,48695
2021-04-23,134.82,135.9,133.81,134.3,3716017.0,134.67,25325
2021-04-26,134.3,139.46,134.21,138.96,5925636.0,137.78,41943
2021-04-27,139.93,140.76,138.21,139.35,4814303.0,139.296,31571
2021-04-28,138.75,140.88,137.26,139.69,4121480.0,139.407,28852
2021-04-29,140.81,140.81,136.45,138.06,3984492.0,138.09,26708
2021-04-30,136.65,139.28,136.22,136.62,3709054.0,137.427,26371
2021-05-03,137.86,138.2,134.85,134.99,3420491.0,135.815,23490
2021-05-04,134.21,134.24,129.15,129.81,7583017.0,130.483,50265
2021-05-05,130.79,131.23,126.75,127.62,6114459.0,129.117,41152
2021-05-06,126.82,127.05,122.88,125.69,11016983.0,124.841,66975
2021-05-07,126.99,129.16,126.62,127.74,5692078.0,128.011,36155
2021-05-10,127.32,127.34,122.9,123.09,5689208.0,124.166,35296
2021-05-11,119.29,126.49,118.23,125.1,7993696.0,123.948,50417
2021-05-12,123.43,127.47,123.03,124.12,6820242.0,125.579,42901
2021-05-13,125.38,126.11,119.98,122.48,6550104.0,122.811,40625
2021-05-14,123.49,128.88,122.84,126.92,4929038.0,125.99,33367
2021-05-17,126.45,127.89,125.23,126.63,2932117.0,126.417,20083
2021-05-18,127.21,130.32,126.43,127.18,3862368.0,128.548,27046
2021-05-19,125.06,126.62,123.83,124.95,4032258.0,125.016,28409
2021-05-20,125.9,128.48,124.64,127.57,3614645.0,127.093,23138
2021-05-21,128.75,129.05,126.63,126.67,3539266.0,127.822,24270
2021-05-24,127.54,127.98,125.09,125.84,3636057.0,126.299,24484
2021-05-25,126.28,127.09,124.17,124.26,3645608.0,125.249,26135
2021-05-26,124.75,127.1,124.38,126.96,3277537.0,126.09,23825
2021-05-27,127.74,128.69,126.32,128.59,2734083.0,127.742,17912
2021-05-28,128.98,131.3,127.7,128.1,4523733.0,129.375,32718
2021-06-01,128.72,128.72,125.96,126.45,3450134.0,127.041,24130
2021-06-02,127.22,127.95,125.49,127.24,3771636.0,126.68,26134
2021-06-03,126.75,127.48,125.08,126.76,3550190.0,126.549,25425
2021-06-04,127.42,128.16,126.42,126.76,3073978.0,127.196,19509
2021-06-07,127.26,133.96,126.88,132.61,12027425.0,131.826,66144
