date,open,high,low,close,volume,average,barCount
2021-04-01,24.64,25.17,24.51,25.16,61566488.0,24.8605,102794
2021-04-05,25.11,25.11,24.41,24.56,49345600.0,24.645,77053
2021-04-06,24.68,25.0,24.45,24.49,46872862.0,24.643,77246
2021-04-07,24.5,24.7,24.41,24.58,46385504.0,24.5685,70877
2021-04-08,24.4,24.41,23.98,24.25,58289996.0,24.1785,85691
2021-04-09,24.25,24.46,23.99,24.1,38000334.0,24.138,59843
2021-04-12,24.3,24.48,23.82,23.91,36477184.0,24.051,64859
2021-04-13,23.86,24.06,23.69,23.93,40924654.0,23.905,62131
2021-04-14,24.14,24.92,24.11,24.6,59824430.0,24.6155,101313
2021-04-15,24.64,24.64,24.3,24.4,41598182.0,24.3875,64915
2021-04-16,24.58,24.64,24.1,24.2,43275216.0,24.254,70615
2021-04-19,24.25,24.43,23.93,24.18,38728686.0,24.1405,63486
2021-04-20,24.09,24.13,23.3,23.54,67053694.0,23.528,110083
2021-04-21,23.24,23.92,23.13,23.84,48136824.0,23.7305,69691
2021-04-22,23.93,23.96,23.48,23.56,45162624.0,23.651,75375
2021-04-23,23.57,23.88,23.43,23.77,31553568.0,23.7425,50803
2021-04-26,23.68,24.11,23.68,23.93,34459106.0,23.9775,57026
2021-04-27,24.02,24.31,23.91,24.22,37652216.0,24.115,58230
2021-04-28,24.4,25.15,24.38,25.06,61687728.0,24.964,104315
2021-04-29,25.42,25.65,25.03,25.34,60223536.0,25.3115,102608
2021-04-30,24.94,25.32,24.64,24.7,50937176.0,24.8725,88012
2021-05-03,24.98,25.44,24.9,25.38,42607676.0,25.25,78875
2021-05-04,25.43,25.61,25.1,25.39,50023016.0,25.3755,81160
2021-05-05,25.71,26.29,25.49,26.21,72360620.0,26.0685,127161
2021-05-06,26.21,26.35,25.72,26.35,54554578.0,26.0915,95676
2021-05-07,26.11,26.86,25.98,26.82,57330438.0,26.6105,91359
2021-05-10,27.15,27.57,26.81,26.83,60367956.0,27.118,108702
2021-05-11,26.26,26.65,25.91,26.14,97825096.0,26.1925,158091
2021-05-12,26.28,27.04,26.14,26.26,75237282.0,26.619,138278
2021-05-13,25.91,26.43,25.59,25.94,72289860.0,25.9875,128724
2021-05-14,26.23,26.85,26.23,26.75,51715666.0,26.62,96854
2021-05-17,26.65,27.38,26.61,27.36,58378370.0,27.0565,103580
2021-05-18,27.33,27.43,26.68,26.73,63030988.0,26.9505,111510
2021-05-19,26.11,26.36,25.7,26.07,80677236.0,25.9925,148369
2021-05-20,26.06,26.15,25.66,26.03,48811582.0,25.892,89975
2021-05-21,26.32,26.47,26.06,26.08,43693308.0,26.2555,83209
2021-05-24,26.26,26.4,25.97,26.34,39528894.0,26.2525,67708
2021-05-25,26.27,26.35,25.77,25.81,43926998.0,25.9405,75294
2021-05-26,25.83,26.13,25.71,26.04,33962416.0,25.959,61360
2021-05-27,26.14,26.38,25.91,26.06,35504680.0,26.0755,63524
2021-05-28,26.19,26.24,25.97,26.11,34293562.0,26.0795,58015
2021-06-01,26.62,27.17,26.61,27.11,66298908.0,27.008,121140
2021-06-02,27.3,27.75,26.96,27.61,62533902.0,27.5125,112484
2021-06-03,27.5,27.85,27.33,27.69,53896390.0,27.7055,103448
2021-06-04,27.88,27.99,27.46,27.88,45350164.0,27.739,93520
2021-06-07,27.87,28.04,27.72,27.75,36188830.0,27.808,73324
2021-06-08,27.64,28.05,27.33,28.0,50095006.0,27.8575,97277
2021-06-09,28.07,28.2,27.81,27.82,47745744.0,27.9985,90532
2021-06-10,28.2,28.33,27.49,27.79,52641784.0,27.883,99603
2021-06-11,27.89,28.04,27.66,27.69,33636692.0,27.7885,64946
2021-06-14,27.79,27.96,27.35,27.57,33677930.0,27.638,68248
2021-06-15,27.75,28.17,27.68,28.1,47187384.0,27.9865,96806
2021-06-16,28.05,28.28,27.7,27.95,55575748.0,27.974,110160
2021-06-17,27.88,28.11,26.63,27.0,97933466.0,27.149,198551
2021-06-18,26.43,26.77,26.18,26.2,81277256.0,26.465,163272
2021-06-21,26.18,27.09,26.15,27.04,65285638.0,26.792,125438
2021-06-22,26.97,27.32,26.68,27.22,40449990.0,27.103,82679
2021-06-23,27.47,27.78,27.24,27.29,36628244.0,27.4695,73775
2021-06-24,27.42,27.55,27.15,27.53,31078724.0,27.398,61855
2021-06-25,27.6,27.68,27.44,27.67,30574720.0,27.5725,61812
2021-06-28,27.55,27.57,26.63,26.74,54786402.0,26.804,111444
2021-06-29,26.9,27.05,26.57,26.61,28357836.0,26.769,57005
2021-06-30,26.7,27.02,26.66,26.93,37791580.0,26.878,70900
2021-07-01,27.57,27.64,27.15,27.41,43619740.0,27.413,82546
2021-07-02,27.3,27.43,27.06,27.35,27796114.0,27.2445,53489
2021-07-06,27.25,27.31,26.35,26.46,58417704.0,26.64,120646
2021-07-07,26.42,26.66,25.74,26.03,56108670.0,26.0495,109822
2021-07-08,25.55,26.12,25.48,25.88,43708790.0,25.8165,83965
2021-07-09,26.21,26.45,25.9,26.43,42705840.0,26.29,74649
2021-07-12,26.14,26.55,25.94,26.39,36858476.0,26.3465,67815
2021-07-13,26.28,26.42,26.03,26.18,44890452.0,26.2145,83110
2021-07-14,26.27,26.57,25.31,25.41,59068626.0,25.696,120449
2021-07-15,25.13,25.43,24.93,25.05,53057760.0,25.151,104064
2021-07-16,25.25,25.25,24.29,24.34,62583632.0,24.585,112067
2021-07-19,23.51,23.82,23.15,23.48,103363126.0,23.357,192279
2021-07-20,23.49,24.05,23.29,23.8,77107530.0,23.8015,143792
2021-07-21,24.27,24.83,24.21,24.63,70130774.0,24.577,132887
2021-07-22,24.61,24.61,24.14,24.35,42688694.0,24.3425,86900
2021-07-23,24.44,24.44,24.02,24.26,42844136.0,24.2025,86772
2021-07-26,24.34,24.96,24.28,24.86,44279632.0,24.7735,80973
2021-07-27,24.67,24.71,24.34,24.63,42258732.0,24.5185,81167
2021-07-28,24.71,25.06,24.47,24.86,34178618.0,24.7745,62278
2021-07-29,25.18,25.29,24.95,25.1,38394406.0,25.1205,72997
2021-07-30,25.05,25.15,24.55,24.7,44758228.0,24.712,81911
2021-08-02,24.71,25.31,24.47,24.51,53611174.0,24.7865,96144
2021-08-03,24.43,24.98,24.2,24.93,58551748.0,24.6975,119215
2021-08-04,24.5,24.79,24.22,24.25,56870686.0,24.4215,105822
2021-08-05,24.4,24.84,24.3,24.53,42554720.0,24.6035,80327
2021-08-06,24.74,24.95,24.62,24.75,32827818.0,24.786,64092
2021-08-09,24.4,24.6,24.24,24.41,37772492.0,24.4365,72836
2021-08-10,24.53,24.9,24.5,24.84,43322912.0,24.776,81110
2021-08-11,24.77,25.08,24.61,25.03,44834496.0,24.874,81598
2021-08-12,25.01,25.15,24.7,25.0,30007328.0,24.9075,54865
2021-08-13,25.02,25.02,24.65,24.71,26828196.0,24.7775,52757
2021-08-16,24.38,24.39,24.04,24.25,43692004.0,24.236,89269
2021-08-17,24.02,24.4,23.79,24.0,45792106.0,24.057,81413
2021-08-18,24.0,24.19,23.48,23.5,51703252.0,23.8525,90931
2021-08-19,23.1,23.25,22.57,22.9,86797880.0,22.818,170326
2021-08-20,22.68,23.09,22.59,22.95,54151536.0,22.898,97059
2021-08-23,23.5,23.87,23.45,23.81,50059506.0,23.74,97529
2021-08-24,24.0,24.33,23.97,24.2,40338248.0,24.1605,79296
2021-08-25,24.18,24.52,23.99,24.39,35832308.0,24.3295,78832
2021-08-26,24.25,24.38,23.98,24.02,35435528.0,24.156,74058
2021-08-27,24.29,24.82,24.26,24.66,41216980.0,24.6485,84098
2021-08-30,24.75,24.85,24.36,24.36,29361480.0,24.518,59552
2021-08-31,24.25,24.47,24.14,24.2,40672008.0,24.303,71355
2021-09-01,24.18,24.32,23.75,23.85,56048742.0,23.9665,102887
2021-09-02,24.07,24.65,24.07,24.45,56789356.0,24.464,104259
2021-09-03,24.4,24.58,24.2,24.31,35001958.0,24.3635,70190
2021-09-07,24.2,24.5,24.08,24.17,35036024.0,24.2225,71689
2021-09-08,24.32,24.46,23.84,23.86,40891946.0,24.067,76025
2021-09-09,23.73,24.28,23.57,23.91,43566334.0,23.959,87183
2021-09-10,24.28,24.33,23.83,23.9,32930646.0,23.988,66573
2021-09-13,24.23,24.75,24.21,24.58,62892980.0,24.563,121547
2021-09-14,24.8,24.85,24.11,24.23,51022594.0,24.364,103737
2021-09-15,24.57,25.15,24.53,25.13,68985486.0,24.972,129281
2021-09-16,25.11,25.11,24.71,24.85,54362770.0,24.8855,102556
2021-09-17,24.74,25.11,24.6,24.66,54710690.0,24.7385,105768
2021-09-20,23.78,23.91,23.24,23.62,71283846.0,23.555,151776
2021-09-21,23.93,24.03,23.43,23.68,44511262.0,23.7025,95776
2021-09-22,24.08,24.69,24.08,24.41,70750474.0,24.4625,127545
2021-09-23,24.54,25.34,24.43,25.26,44988578.0,25.087,85743
2021-09-24,25.13,25.58,25.08,25.45,47896006.0,25.436,94326
2021-09-27,26.02,26.46,25.98,26.36,73753146.0,26.3135,141169
2021-09-28,26.61,26.92,26.39,26.45,104678762.0,26.577,188142
2021-09-29,26.42,26.61,26.1,26.45,62238656.0,26.461,124862
2021-09-30,26.46,26.52,26.05,26.05,80048024.0,26.246,152277
2021-10-01,26.25,26.95,26.24,26.92,73911868.0,26.643,133102
2021-10-04,27.22,27.66,27.08,27.36,93387694.0,27.398,192333
2021-10-05,27.75,28.03,27.23,27.52,83546112.0,27.665,152259
2021-10-06,27.07,27.38,26.75,27.23,88615966.0,27.0495,173244
2021-10-07,27.3,27.59,27.17,27.44,58899782.0,27.418,111681
2021-10-08,27.75,28.35,27.67,28.29,77051416.0,28.1335,136368
2021-10-11,28.73,28.8,28.15,28.18,70750294.0,28.486,120546
2021-10-12,28.14,28.48,28.01,28.21,59355628.0,28.231,110419
2021-10-13,28.0,28.33,27.68,28.18,52537098.0,28.072,95175
2021-10-14,28.5,28.65,28.24,28.53,42085028.0,28.4375,85371
2021-10-15,28.85,28.96,28.65,28.67,37169942.0,28.7775,73013
2021-10-18,28.94,29.11,28.53,28.68,58815670.0,28.802,96538
2021-10-19,28.81,29.11,28.65,29.01,39632334.0,28.912,72017
