date,open,high,low,close,volume,average,barCount
2021-04-01,34.02,34.47,34.0,34.47,41414733.0,34.272,66731
2021-04-05,34.84,34.91,34.63,34.74,49263237.0,34.733,70628
2021-04-06,34.66,34.83,34.54,34.67,35382521.0,34.676,44489
2021-04-07,34.77,34.92,34.6,34.84,35079206.0,34.739,49415
2021-04-08,34.71,34.89,34.47,34.85,36663180.0,34.696,57224
2021-04-09,35.09,35.17,34.89,35.15,32779797.0,35.031,36868
2021-04-12,35.17,35.31,35.14,35.3,39878667.0,35.227,53048
2021-04-13,35.1,35.14,34.78,34.97,33683519.0,34.986,44558
2021-04-14,34.88,35.43,34.82,35.18,41947839.0,35.228,54646
2021-04-15,35.3,35.3,34.82,35.15,42860264.0,35.021,56521
2021-04-16,35.46,35.53,35.24,35.4,36972780.0,35.389,58468
2021-04-19,35.39,35.49,35.18,35.3,29356003.0,35.31,35440
2021-04-20,35.09,35.11,34.52,34.64,47297362.0,34.703,65097
2021-04-21,34.52,35.15,34.41,35.12,35990971.0,34.855,51526
2021-04-22,35.08,35.13,34.67,34.73,40407185.0,34.877,63703
2021-04-23,34.73,35.53,34.67,35.38,39344491.0,35.274,54818
2021-04-26,35.51,35.85,35.48,35.52,35504766.0,35.655,47994
2021-04-27,35.57,35.85,35.49,35.8,40809805.0,35.688,48678
2021-04-28,35.94,36.04,35.83,35.94,33190556.0,35.945,52072
2021-04-29,36.22,36.61,36.19,36.58,39825631.0,36.398,60760
2021-04-30,36.39,36.51,36.2,36.26,38199945.0,36.318,70092
2021-05-03,36.57,36.64,36.3,36.44,30918497.0,36.504,51282
2021-05-04,36.28,36.73,36.04,36.73,59791258.0,36.412,67111
2021-05-05,36.84,37.17,36.6,37.03,36328780.0,36.959,55132
2021-05-06,37.18,37.59,36.96,37.58,39890829.0,37.266,59508
2021-05-07,37.14,37.79,37.06,37.78,57917530.0,37.56,69738
2021-05-10,37.98,38.26,37.72,37.75,46889184.0,38.054,74735
2021-05-11,37.45,37.71,36.93,37.08,75109971.0,37.214,95619
2021-05-12,37.37,37.51,36.55,36.7,73634154.0,36.943,100302
2021-05-13,36.56,37.52,36.54,37.29,59290517.0,37.249,82592
2021-05-14,37.49,37.98,37.46,37.88,37139935.0,37.799,62275
2021-05-17,37.76,37.99,37.61,37.95,35049270.0,37.86,47013
2021-05-18,37.92,38.05,37.4,37.42,33517876.0,37.735,57881
2021-05-19,36.99,37.21,36.59,37.19,58795879.0,36.932,86212
2021-05-20,37.19,37.47,36.95,37.21,47289101.0,37.204,59520
2021-05-21,37.36,37.78,37.34,37.58,35917732.0,37.604,62669
2021-05-24,37.74,37.85,37.55,37.76,25793385.0,37.755,48393
2021-05-25,37.81,38.1,37.33,37.38,33323723.0,37.665,51838
2021-05-26,37.52,37.66,37.22,37.49,32511616.0,37.509,60361
2021-05-27,37.83,38.02,37.6,37.92,32854662.0,37.823,56451
2021-05-28,38.09,38.09,37.71,37.99,34752882.0,37.923,57128
2021-06-01,38.37,38.48,38.11,38.22,31883416.0,38.272,57088
2021-06-02,38.34,38.38,38.07,38.28,27094843.0,38.266,56766
2021-06-03,38.16,38.6,38.04,38.37,39679362.0,38.368,64781
2021-06-04,38.44,38.5,38.13,38.47,24850690.0,38.328,45973
2021-06-07,38.53,38.53,38.15,38.22,25163062.0,38.242,47409
2021-06-08,37.99,38.24,37.73,38.12,33618121.0,38.008,58532
2021-06-09,37.92,38.02,37.66,37.76,34284544.0,37.808,59256
2021-06-10,38.08,38.18,37.29,37.32,37781728.0,37.607,64939
2021-06-11,37.39,37.58,37.38,37.56,34208200.0,37.476,69893
2021-06-14,37.49,37.55,36.95,37.17,43626462.0,37.164,82028
2021-06-15,37.18,37.43,37.0,37.24,41096677.0,37.214,71385
2021-06-16,37.12,37.45,36.74,37.2,79738036.0,37.118,128056
2021-06-17,37.39,37.41,35.99,36.1,91624449.0,36.331,144762
