date,open,high,low,close,volume,average,barCount
2021-04-01,67.16,67.75,67.07,67.74,11155590.0,67.492,38238
2021-04-05,68.14,69.26,68.05,69.14,10853568.0,68.9085,37130
2021-04-06,68.92,69.26,68.61,68.85,9476382.0,68.9285,32517
2021-04-07,68.79,69.33,68.54,69.21,8145186.0,69.08,26778
2021-04-08,69.86,70.23,69.74,70.21,12438598.0,70.0225,42296
2021-04-09,69.96,70.91,69.83,70.89,8186720.0,70.485,27168
2021-04-12,70.6,70.77,70.2,70.55,9203430.0,70.524,31001
2021-04-13,70.82,71.27,70.69,71.21,9490532.0,71.046,28502
2021-04-14,71.2,71.24,70.32,70.46,9342496.0,70.7525,30834
2021-04-15,71.17,71.72,71.09,71.67,9350600.0,71.5345,32565
2021-04-16,71.71,71.79,71.35,71.65,7890100.0,71.5905,26450
2021-04-19,71.33,71.66,70.63,71.06,8775358.0,71.0595,32589
2021-04-20,70.91,71.22,70.03,70.42,8467832.0,70.5215,32397
2021-04-21,70.31,71.16,70.11,71.14,7723152.0,70.754,28291
2021-04-22,71.01,71.32,69.99,70.3,10055442.0,70.62,36798
2021-04-23,70.43,71.58,70.42,71.35,7872302.0,71.2205,25517
2021-04-26,71.38,71.79,71.33,71.72,6051020.0,71.6195,20453
2021-04-27,71.83,71.89,71.29,71.54,8850676.0,71.5255,29407
2021-04-28,71.13,71.22,70.7,70.88,8634634.0,70.962,29936
2021-04-29,71.46,71.55,70.1,70.82,11421518.0,70.6825,42595
2021-04-30,70.1,70.48,69.69,69.85,8999370.0,69.9665,30584
2021-05-03,70.23,70.36,69.48,69.66,9105418.0,69.827,30065
2021-05-04,69.15,69.16,67.64,68.41,15453544.0,68.199,49315
2021-05-05,68.97,69.07,68.11,68.24,9233646.0,68.6285,32115
2021-05-06,68.21,68.97,67.72,68.92,12502460.0,68.4215,39259
2021-05-07,69.58,69.92,69.22,69.52,17153676.0,69.581,44195
2021-05-10,69.17,69.22,67.74,67.76,17315352.0,68.2315,51192
2021-05-11,66.47,67.7,66.31,67.56,21810554.0,67.1405,77053
2021-05-12,66.54,66.92,65.48,65.66,23618938.0,65.973,78563
2021-05-13,66.4,67.13,66.08,66.53,18699388.0,66.643,63273
2021-05-14,67.27,68.23,67.14,67.99,14596868.0,67.7605,48403
2021-05-17,67.59,67.61,66.88,67.49,14395810.0,67.258,49481
2021-05-18,67.69,67.83,66.91,66.95,10126414.0,67.477,34907
2021-05-19,65.91,67.24,65.75,67.19,24196804.0,66.6415,82063
2021-05-20,67.48,68.7,67.45,68.47,14103224.0,68.327,45628
2021-05-21,68.79,68.89,68.03,68.1,12426362.0,68.3455,41058
2021-05-24,68.66,69.55,68.63,69.31,10689482.0,69.3055,35283
2021-05-25,69.6,69.75,69.17,69.33,9391208.0,69.3465,34179
2021-05-26,69.36,69.63,69.1,69.32,12048274.0,69.311,33036
2021-05-27,69.24,69.55,68.94,68.96,9752242.0,69.1905,32747
2021-05-28,69.38,69.6,69.17,69.2,8055684.0,69.3715,26241
2021-06-01,69.5,69.58,68.74,68.86,11000020.0,69.052,36014
2021-06-02,68.98,69.61,68.87,69.33,8060632.0,69.326,26625
2021-06-03,68.78,69.05,68.27,68.69,10472702.0,68.7235,34305
2021-06-04,69.13,70.09,69.11,70.01,9905640.0,69.847,30642
2021-06-07,69.96,70.08,69.65,70.0,10201272.0,69.837,35140
2021-06-08,70.21,70.63,69.81,70.0,7850660.0,70.1505,25518
2021-06-09,70.33,70.46,70.01,70.05,8732886.0,70.204,28249
2021-06-10,70.17,70.74,69.95,70.57,9432156.0,70.4465,31301
2021-06-11,70.66,70.99,70.59,70.99,9110932.0,70.8345,29264
2021-06-14,71.06,71.71,70.77,71.71,8028012.0,71.2775,26571
2021-06-15,71.62,71.65,71.14,71.27,13273774.0,71.3255,34883
2021-06-16,71.4,71.54,70.18,70.88,15379064.0,70.874,55455
2021-06-17,70.67,72.0,70.67,71.7,12461530.0,71.605,44174
2021-06-18,71.36,71.64,70.96,71.05,15362664.0,71.2905,53211
2021-06-21,70.95,71.72,70.49,71.67,9844656.0,71.363,35338
2021-06-22,71.63,72.36,71.55,72.33,7887908.0,72.0265,26966
2021-06-23,72.33,72.5,72.08,72.25,6703836.0,72.3,23068
2021-06-24,72.71,72.92,72.56,72.7,10743884.0,72.742,34924
2021-06-25,72.75,72.82,72.5,72.61,12382838.0,72.6425,42490
2021-06-28,72.92,73.46,72.9,73.38,9270988.0,73.3175,33472
2021-06-29,73.39,73.95,73.25,73.91,8204804.0,73.7285,24475
2021-06-30,73.8,74.01,73.6,73.83,9319000.0,73.829,28485
2021-07-01,73.7,73.96,73.46,73.96,9132172.0,73.7585,28659
2021-07-02,74.33,75.01,74.29,74.93,10517174.0,74.7305,30737
2021-07-06,75.11,75.57,74.5,75.22,9295710.0,75.1,31800
2021-07-07,75.73,75.78,75.02,75.63,12059490.0,75.5295,40982
2021-07-08,74.46,75.12,74.1,74.91,14186416.0,74.6675,48494
