date,open,high,low,close,volume,average,barCount
2021-04-01,31.96,32.05,31.78,31.99,17027640.0,31.9015,38149
2021-04-05,32.1,32.55,32.08,32.34,22108702.0,32.375,49338
2021-04-06,32.31,32.52,32.07,32.51,15665834.0,32.3785,36457
2021-04-07,32.49,32.65,32.3,32.47,14454482.0,32.4395,31105
2021-04-08,32.56,32.66,32.38,32.45,16822708.0,32.489,35272
2021-04-09,32.48,32.62,32.35,32.41,14325828.0,32.4415,30434
2021-04-12,32.43,32.67,32.33,32.44,13463846.0,32.4655,26482
2021-04-13,32.3,32.88,32.24,32.83,16370750.0,32.725,37317
2021-04-14,32.74,32.97,32.66,32.97,13901064.0,32.8485,29566
2021-04-15,32.95,33.35,32.95,33.34,21890518.0,33.1875,40858
2021-04-16,33.44,33.74,33.39,33.6,20828038.0,33.579,41529
2021-04-19,33.63,33.68,33.35,33.44,15519976.0,33.44,33444
2021-04-20,33.44,33.95,33.42,33.86,24760492.0,33.838,48163
2021-04-21,33.9,34.02,33.45,33.58,18240168.0,33.6145,37065
2021-04-22,33.57,33.67,33.3,33.34,17058280.0,33.4675,36592
2021-04-23,33.35,33.46,33.21,33.29,15652618.0,33.3215,32756
2021-04-26,33.31,33.33,33.0,33.1,11745414.0,33.0955,25407
2021-04-27,33.05,33.07,32.79,32.85,18215920.0,32.9365,37176
2021-04-28,32.86,32.95,32.65,32.8,14280226.0,32.762,28906
2021-04-29,32.81,33.12,32.8,33.1,17864722.0,33.018,38385
2021-04-30,33.17,33.37,32.97,33.36,17908002.0,33.202,38876
2021-05-03,33.44,33.67,33.3,33.35,19983362.0,33.493,49655
2021-05-04,33.32,33.38,33.01,33.23,21816564.0,33.1695,46876
2021-05-05,33.23,33.23,32.49,32.67,21261874.0,32.66,45613
2021-05-06,32.76,32.95,32.54,32.92,21186968.0,32.7635,46461
2021-05-07,32.91,33.27,32.89,33.02,16508716.0,33.0985,35292
2021-05-10,33.09,33.69,33.09,33.35,24800994.0,33.4225,52326
2021-05-11,33.32,33.37,32.72,32.95,25263058.0,32.9275,59529
2021-05-12,32.91,32.91,32.16,32.18,27139238.0,32.4885,61371
2021-05-13,32.23,32.99,32.19,32.8,25039408.0,32.7155,57538
2021-05-14,32.88,33.17,32.88,32.96,16968256.0,33.0255,39250
2021-05-17,32.94,33.13,32.63,32.69,20753900.0,32.8305,47556
2021-05-18,32.62,32.79,32.53,32.68,18163746.0,32.6935,39054
2021-05-19,32.52,32.66,32.24,32.63,24518468.0,32.481,52734
2021-05-20,32.69,33.11,32.68,32.91,23193732.0,32.9465,47052
2021-05-21,32.99,33.21,32.85,33.08,18159464.0,33.007,43424
2021-05-24,33.24,33.3,33.0,33.02,17175138.0,33.0905,33319
2021-05-25,33.02,33.06,32.55,32.62,17136642.0,32.686,38173
2021-05-26,32.64,32.77,32.52,32.63,14625146.0,32.648,33970
2021-05-27,32.73,32.74,32.4,32.41,14997158.0,32.5475,33930
2021-05-28,32.59,32.7,32.48,32.58,17591840.0,32.5925,36273
2021-06-01,32.66,32.73,32.31,32.38,20320314.0,32.438,39222
2021-06-02,32.43,32.73,32.3,32.55,18602072.0,32.493,39410
2021-06-03,32.38,32.85,32.29,32.74,20759610.0,32.7015,41556
2021-06-04,32.84,32.88,32.65,32.7,13632826.0,32.7555,30117
2021-06-07,32.73,32.81,32.67,32.76,11256578.0,32.744,22364
2021-06-08,32.81,32.87,32.34,32.48,16654444.0,32.4685,34884
2021-06-09,32.56,32.83,32.49,32.77,17493544.0,32.6965,36367
2021-06-10,32.79,33.02,32.71,32.98,15579992.0,32.9215,28875
2021-06-11,32.97,33.08,32.83,33.06,14026454.0,32.9655,28017
2021-06-14,33.1,33.21,32.93,33.13,12685342.0,33.038,26585
2021-06-15,33.16,33.41,33.07,33.23,31185138.0,33.275,48472
2021-06-16,33.32,33.43,32.71,32.73,43871692.0,33.0185,81779
2021-06-17,32.7,33.09,32.6,32.91,23798294.0,32.903,50634
2021-06-18,32.72,32.74,32.0,32.05,31589746.0,32.3675,64866
2021-06-21,31.91,32.3,31.73,32.22,20530942.0,32.1215,48739
2021-06-22,32.16,32.31,32.01,32.02,13860010.0,32.141,30312
2021-06-23,32.0,32.0,31.59,31.68,22161602.0,31.722,44144
2021-06-24,31.72,31.73,31.51,31.65,13908660.0,31.636,30485
2021-06-25,31.67,32.02,31.63,31.99,16483430.0,31.846,37038
2021-06-28,32.12,32.35,32.08,32.2,15357076.0,32.217,33722
2021-06-29,32.08,32.29,31.58,31.68,22402062.0,31.848,44955
2021-06-30,31.65,31.77,31.5,31.61,17825992.0,31.5975,36756
2021-07-01,31.68,32.07,31.55,31.96,21378678.0,31.912,40089
2021-07-02,32.02,32.05,31.85,32.01,14180420.0,31.9455,27333
2021-07-06,32.01,32.17,31.64,32.15,16674722.0,31.938,33173
2021-07-07,32.15,32.36,31.98,32.35,21590080.0,32.261,44286
2021-07-08,32.18,32.46,32.13,32.26,18989002.0,32.2935,38943
2021-07-09,32.31,32.39,32.04,32.3,20039884.0,32.2385,37721
2021-07-12,32.27,32.44,32.1,32.41,16557418.0,32.2995,33962
2021-07-13,32.35,32.46,32.05,32.16,16970990.0,32.263,33009
2021-07-14,32.16,32.58,32.02,32.44,18779374.0,32.3805,37122
2021-07-15,32.33,32.83,32.32,32.81,24324314.0,32.6465,46038
2021-07-16,32.85,33.31,32.81,33.13,31469320.0,33.1355,68103
2021-07-19,33.0,33.27,32.24,32.61,43412396.0,32.6705,89175
2021-07-20,32.64,33.08,32.64,32.75,28141746.0,32.7935,56097
2021-07-21,32.77,32.85,32.37,32.39,20655266.0,32.598,45006
2021-07-22,32.43,32.59,32.33,32.44,21544638.0,32.464,47159
2021-07-23,32.52,32.88,32.46,32.85,15249262.0,32.7005,34510
2021-07-26,32.79,32.97,32.63,32.87,15955016.0,32.793,35399
2021-07-27,32.83,33.49,32.65,33.43,31930724.0,33.228,66797
2021-07-28,33.42,33.48,32.93,33.18,23453934.0,33.164,54889
2021-07-29,33.25,33.36,33.07,33.27,25834930.0,33.2465,56291
2021-07-30,33.24,33.52,32.91,32.99,23608664.0,33.1045,50941
2021-08-02,33.06,33.36,33.02,33.24,20585738.0,33.2085,47197
2021-08-03,33.29,33.59,33.13,33.43,24114610.0,33.4125,56277
2021-08-04,33.3,33.42,32.97,33.38,29789190.0,33.212,59646
2021-08-05,33.43,33.79,33.34,33.74,27059590.0,33.5465,61839
2021-08-06,33.71,33.97,33.63,33.73,17864130.0,33.82,43803
2021-08-09,33.75,33.84,33.53,33.72,15643660.0,33.654,34641
2021-08-10,33.74,33.87,33.6,33.75,14341362.0,33.74,33973
2021-08-11,33.83,34.22,33.83,34.07,15991988.0,34.046,35032
2021-08-12,34.04,34.22,33.99,34.1,16838366.0,34.11,37129
2021-08-13,34.19,34.38,34.1,34.34,20082654.0,34.2795,41588
2021-08-16,34.34,34.8,34.31,34.55,22683928.0,34.5735,51808
2021-08-17,34.46,34.58,34.23,34.57,20688716.0,34.423,47787
2021-08-18,34.57,34.64,34.28,34.4,24840296.0,34.408,59211
2021-08-19,34.41,34.82,34.37,34.54,25343390.0,34.6015,61115
2021-08-20,34.48,34.99,34.3,34.97,19718114.0,34.844,46211
2021-08-23,34.9,34.95,34.45,34.52,19877274.0,34.622,44239
2021-08-24,34.5,34.53,34.06,34.29,22947518.0,34.2775,51659
2021-08-25,34.27,34.47,34.09,34.35,14628804.0,34.325,32492
2021-08-26,34.35,34.37,34.2,34.27,14852198.0,34.273,34269
2021-08-27,34.31,34.42,34.2,34.26,18760574.0,34.305,41423
2021-08-30,34.25,34.41,34.13,34.31,17370386.0,34.316,37098
2021-08-31,34.34,34.47,34.13,34.27,19970208.0,34.2945,42923
2021-09-01,34.37,34.84,34.32,34.72,24385786.0,34.6805,51002
2021-09-02,34.8,35.04,34.76,35.04,18381242.0,34.91,41648
2021-09-03,34.93,34.98,34.66,34.74,17008348.0,34.8605,40647
2021-09-07,34.72,34.72,34.23,34.29,22378772.0,34.3955,49051
2021-09-08,34.26,34.99,34.19,34.9,25666996.0,34.844,58666
2021-09-09,34.79,34.92,34.68,34.71,14565872.0,34.784,36239
2021-09-10,34.69,34.73,34.22,34.23,22154520.0,34.3715,47067
2021-09-13,34.52,34.56,34.07,34.17,21271130.0,34.257,51247
2021-09-14,34.27,34.38,33.97,34.05,23420984.0,34.1325,54441
2021-09-15,34.0,34.23,33.82,34.01,17733392.0,34.0475,40807
2021-09-16,34.0,34.14,33.67,33.72,22480010.0,33.809,50689
2021-09-17,33.65,33.83,33.17,33.2,21619822.0,33.433,52515
2021-09-20,32.88,33.18,32.53,32.89,34507202.0,32.8765,79975
2021-09-21,32.99,33.21,32.78,32.8,23357260.0,32.978,50838
2021-09-22,32.92,33.05,32.66,32.78,22244412.0,32.8475,50913
2021-09-23,32.79,33.02,32.58,32.6,16829496.0,32.8265,37774
2021-09-24,32.6,32.82,32.49,32.57,17631924.0,32.6305,37732
2021-09-27,32.52,32.85,32.13,32.19,19893364.0,32.491,43144
2021-09-28,32.16,32.21,31.68,31.78,35353826.0,31.8765,77431
2021-09-29,31.86,32.42,31.79,32.2,26582882.0,32.1805,60304
2021-09-30,32.32,32.34,31.9,31.94,24949980.0,32.124,56346
2021-10-01,32.13,32.2,31.83,31.94,25537702.0,32.023,57913
2021-10-04,31.91,32.48,31.89,32.38,35010386.0,32.224,78526
2021-10-05,32.41,32.54,32.26,32.3,23785376.0,32.36,53212
2021-10-06,32.2,32.83,32.01,32.8,29711370.0,32.3665,65471
2021-10-07,32.86,33.12,32.59,32.63,25564446.0,32.7845,54604
2021-10-08,32.62,32.69,32.36,32.38,16006796.0,32.4935,39307
2021-10-11,32.25,32.32,31.9,31.95,23420388.0,32.0885,55822
2021-10-12,31.98,32.26,31.91,32.16,18919666.0,32.1335,47333
2021-10-13,32.17,32.56,32.0,32.54,24262486.0,32.3395,60100
2021-10-14,32.65,33.0,32.57,32.94,18964824.0,32.8555,43117
2021-10-15,32.99,33.1,32.79,32.84,24430626.0,32.887,57911
2021-10-18,32.62,32.71,32.35,32.52,18956960.0,32.5645,43043
