date,open,high,low,close,volume,average,barCount
2021-04-01,116.92,117.04,116.02,116.39,6043636.0,116.528,34048
2021-04-05,116.98,117.57,116.79,117.2,5550872.0,117.183,34115
2021-04-06,117.35,117.69,116.58,116.75,4600362.0,117.117,28884
2021-04-07,116.66,117.08,116.18,116.49,4525068.0,116.474,26067
2021-04-08,116.79,117.19,116.51,116.67,3856872.0,116.829,23113
2021-04-09,116.75,118.02,116.67,117.95,5071962.0,117.354,27548
2021-04-12,117.73,118.31,117.65,118.07,7559670.0,118.022,30617
2021-04-13,117.7,118.89,117.59,118.56,5433656.0,118.394,29835
2021-04-14,118.42,119.03,118.33,118.55,5656733.0,118.593,30644
2021-04-15,119.02,120.93,119.02,120.58,7662510.0,120.462,43220
2021-04-16,121.2,121.62,120.78,121.48,6825342.0,121.239,35500
2021-04-19,121.25,121.54,120.88,121.51,6222941.0,121.323,36299
2021-04-20,120.95,122.29,120.95,121.98,7354348.0,121.942,43150
2021-04-21,122.36,123.49,122.3,123.42,7493908.0,123.126,42717
2021-04-22,123.32,123.6,122.4,122.87,8457202.0,123.007,50658
2021-04-23,122.81,123.96,122.55,123.68,4414317.0,123.47,25517
2021-04-26,123.61,123.62,123.03,123.26,6359504.0,123.278,25320
2021-04-27,122.95,122.97,122.35,122.55,6077384.0,122.67,34778
2021-04-28,122.35,122.49,121.96,122.18,6228624.0,122.207,35035
2021-04-29,122.14,122.34,121.03,121.69,7299220.0,121.485,40618
2021-04-30,121.25,121.92,121.11,121.33,6225236.0,121.35,37598
2021-05-03,121.99,122.84,121.82,122.71,8564673.0,122.542,41595
2021-05-04,122.53,122.93,122.0,122.84,13638180.0,122.393,64462
2021-05-05,123.01,123.44,122.41,123.06,13750733.0,122.987,60288
2021-05-06,122.36,123.23,121.73,123.22,13644048.0,122.547,64561
2021-05-07,123.51,124.72,123.46,124.07,6905990.0,124.227,41026
2021-05-10,124.52,125.19,124.18,124.23,7593924.0,124.709,42312
2021-05-11,123.64,124.1,122.6,122.89,9729395.0,123.227,62324
2021-05-12,122.29,122.84,121.61,121.73,9978547.0,122.194,57730
2021-05-13,121.95,123.39,121.76,122.83,8987717.0,122.872,52098
2021-05-14,123.54,123.86,123.14,123.45,5812987.0,123.544,34750
2021-05-17,123.31,123.88,123.14,123.22,5189404.0,123.462,30988
2021-05-18,123.18,123.97,122.77,123.26,7559134.0,123.428,40890
2021-05-19,122.47,123.13,121.59,123.05,8971263.0,122.424,57852
2021-05-20,123.02,124.87,123.01,124.34,6715031.0,124.347,39174
2021-05-21,124.75,125.66,124.26,124.36,6576668.0,124.879,40850
2021-05-24,125.0,125.25,124.43,124.48,4395369.0,124.804,27349
2021-05-25,124.66,124.67,123.97,124.11,5158994.0,124.195,31422
2021-05-26,124.08,124.12,122.86,123.39,6178562.0,123.353,36235
2021-05-27,123.65,123.75,123.05,123.12,6777271.0,123.302,39325
2021-05-28,123.71,124.62,123.52,123.6,9152428.0,123.988,42578
2021-06-01,123.75,123.79,121.46,121.57,11004126.0,121.885,57703
2021-06-02,121.7,121.99,121.04,121.33,11363218.0,121.424,51992
2021-06-03,120.92,122.02,120.61,121.7,11134460.0,121.519,55249
2021-06-04,122.32,122.7,121.95,122.09,10552224.0,122.24,44446
2021-06-07,122.39,123.61,122.18,122.53,12347672.0,122.913,67449
2021-06-08,122.8,122.9,121.21,122.15,9623552.0,121.962,48960
2021-06-09,122.46,123.54,122.46,123.33,6280909.0,123.245,37330
2021-06-10,123.63,125.58,123.58,125.44,8539996.0,125.069,43353
2021-06-11,125.25,125.31,123.92,124.55,6236119.0,124.398,33835
2021-06-14,124.48,124.68,123.78,124.66,4672259.0,124.177,27419
2021-06-15,124.79,124.98,124.17,124.7,4739647.0,124.545,26411
2021-06-16,124.83,125.46,123.87,124.22,8459903.0,124.574,51106
2021-06-17,124.0,125.5,123.98,125.17,5756119.0,124.817,36824
2021-06-18,124.06,124.41,123.57,123.74,8426823.0,124.048,50465
2021-06-21,123.65,124.97,123.2,124.74,5855942.0,124.514,34843
2021-06-22,124.82,125.18,124.4,125.01,5794088.0,124.92,34758
2021-06-23,124.84,125.13,124.44,124.49,4786912.0,124.652,28904
2021-06-24,125.22,126.01,124.99,125.13,6240754.0,125.351,36251
2021-06-25,125.08,126.08,125.01,125.7,7408860.0,125.582,41751
2021-06-28,125.83,126.05,125.41,125.89,4130230.0,125.726,26624
2021-06-29,125.9,126.42,125.74,126.03,4962458.0,126.035,29432
2021-06-30,125.95,126.21,125.47,125.95,7444534.0,125.822,37363
2021-07-01,126.04,127.16,125.99,127.07,8623596.0,126.833,43886
2021-07-02,127.29,128.41,127.0,128.29,10534339.0,127.895,50137
2021-07-06,127.93,128.18,127.26,128.17,9517372.0,127.782,45861
2021-07-07,128.18,128.98,127.71,128.98,16122308.0,128.624,65199
2021-07-08,127.8,128.35,127.11,128.27,7504668.0,127.849,45110
2021-07-09,128.73,129.11,128.41,128.71,4607273.0,128.77,26641
2021-07-12,128.71,129.6,128.61,128.96,7534497.0,129.118,30902
2021-07-13,128.8,129.26,128.52,128.84,6724275.0,128.91,36036
2021-07-14,129.18,129.24,128.49,128.72,6582865.0,128.745,38555
2021-07-15,128.03,128.59,127.48,128.27,7708544.0,128.186,44327
2021-07-16,128.6,129.09,128.18,128.62,5784225.0,128.645,36200
2021-07-19,127.82,128.39,126.23,127.27,14181240.0,127.125,75866
2021-07-20,127.68,129.55,127.68,128.82,11881227.0,128.99,70924
2021-07-21,129.32,129.38,127.64,129.03,7342791.0,128.484,44923
2021-07-22,129.18,129.98,128.79,129.98,7549838.0,129.597,46946
2021-07-23,130.48,131.61,130.37,131.48,7386215.0,131.123,41907
2021-07-26,131.11,131.49,130.19,130.63,5919637.0,130.598,34807
2021-07-27,130.48,131.24,130.1,131.24,8627031.0,130.853,47743
2021-07-28,131.05,132.09,130.71,131.71,6591706.0,131.541,40409
2021-07-29,132.14,132.23,131.64,132.03,5003740.0,131.947,30115
2021-07-30,131.89,132.64,131.63,132.15,5640687.0,132.211,33640
2021-08-02,132.63,132.85,131.94,132.33,7270022.0,132.432,47350
2021-08-03,132.39,134.21,132.3,134.17,6773222.0,133.38,41411
2021-08-04,133.65,134.47,133.43,133.6,6279130.0,133.997,40066
2021-08-05,133.43,133.52,132.04,133.05,7454016.0,132.682,44163
2021-08-06,132.98,133.11,132.09,132.94,6165113.0,132.653,35046
2021-08-09,133.14,133.7,133.03,133.45,8417278.0,133.335,45025
2021-08-10,133.52,133.79,132.62,133.14,5176244.0,133.193,33227
2021-08-11,133.3,133.56,131.71,131.82,13090983.0,132.217,66039
2021-08-12,131.97,132.97,131.86,132.86,7068278.0,132.61,44230
2021-08-13,133.18,133.72,133.03,133.69,6273198.0,133.462,35001
2021-08-16,133.66,135.23,133.23,135.21,6639754.0,134.409,39375
2021-08-17,134.81,136.81,134.77,136.81,10898231.0,136.138,63647
2021-08-18,136.63,136.78,134.65,134.73,10824352.0,135.841,67524
2021-08-19,133.85,136.04,133.8,135.34,10026347.0,135.221,67887
2021-08-20,135.47,136.52,135.0,136.11,6195171.0,136.134,39186
2021-08-23,136.88,136.98,136.12,136.16,6609272.0,136.525,39801
2021-08-24,135.99,136.18,135.29,135.68,5729836.0,135.79,33239
2021-08-25,135.55,135.63,134.75,135.31,5620973.0,135.237,34495
2021-08-26,135.39,135.69,134.52,134.78,4968484.0,134.944,32237
2021-08-27,135.08,135.45,134.41,134.63,7109276.0,134.827,41693
2021-08-30,134.51,135.88,134.5,135.39,5303374.0,135.338,31667
2021-08-31,135.42,136.05,134.73,135.21,7814962.0,135.219,44149
2021-09-01,135.32,135.44,133.96,135.25,9041822.0,134.849,48736
2021-09-02,135.75,136.72,135.6,136.7,5882096.0,136.335,34738
2021-09-03,136.43,137.05,135.91,136.85,4843759.0,136.527,30748
2021-09-07,136.34,136.56,135.16,136.05,7592367.0,135.691,49312
2021-09-08,135.78,136.21,135.42,135.99,6111341.0,135.913,39785
2021-09-09,135.8,136.11,134.34,134.42,7248413.0,135.048,42649
2021-09-10,134.9,135.02,133.12,133.19,8571097.0,133.742,51006
2021-09-13,133.89,133.97,131.7,132.37,10057835.0,132.365,64701
2021-09-14,133.03,133.3,132.12,132.35,8291441.0,132.627,48990
2021-09-15,132.19,133.83,131.98,133.21,8790254.0,133.167,48802
2021-09-16,133.38,133.63,131.96,132.87,7745557.0,132.687,46372
2021-09-17,132.76,133.11,132.13,133.0,9991779.0,132.755,61975
2021-09-20,131.05,132.32,130.01,131.15,12726564.0,131.217,81568
2021-09-21,131.75,132.7,131.33,131.35,9462476.0,131.83,59820
2021-09-22,131.66,132.24,130.94,131.57,9484656.0,131.68,59414
2021-09-23,131.88,133.29,131.77,132.52,8783825.0,132.829,50928
2021-09-24,132.31,132.79,131.7,131.98,5971494.0,132.139,34941
2021-09-27,131.6,131.76,129.82,130.1,10017477.0,130.402,58472
2021-09-28,129.25,129.28,127.43,127.87,14148303.0,128.059,85055
2021-09-29,128.44,129.48,128.18,128.88,9415061.0,128.887,58104
2021-09-30,129.31,130.12,127.19,127.3,17253199.0,128.497,101598
2021-10-01,127.47,127.93,125.28,127.33,17425818.0,126.639,103043
2021-10-04,126.81,127.46,124.76,125.39,19737872.0,125.711,108770
2021-10-05,125.9,127.42,125.73,126.14,14114227.0,126.643,81611
2021-10-06,125.44,126.02,124.5,125.91,16366252.0,125.39,93813
2021-10-07,126.78,128.4,126.54,127.58,10599375.0,127.773,59259
2021-10-08,127.73,128.0,126.68,126.94,7849480.0,127.155,48160
2021-10-11,126.83,127.5,125.91,125.95,6833640.0,126.62,39937
2021-10-12,126.35,126.48,125.02,125.34,10676667.0,125.642,61010
2021-10-13,125.55,126.11,124.76,125.54,8386087.0,125.461,50840
2021-10-14,126.93,127.84,126.84,127.34,7522086.0,127.419,48424
2021-10-15,128.0,128.55,127.73,127.97,7247360.0,128.097,41227
2021-10-18,127.41,127.54,126.55,127.1,8406755.0,127.066,47479
2021-10-19,127.79,129.1,127.79,128.77,7582864.0,128.627,45398
2021-10-20,129.55,130.81,129.42,130.61,10182573.0,130.4,55354
2021-10-21,130.88,131.22,129.93,131.14,6763717.0,130.657,38746
2021-10-22,131.02,131.72,130.82,131.67,6821614.0,131.281,41523
2021-10-25,131.73,131.98,130.71,131.83,8306823.0,131.628,44114
2021-10-26,132.13,132.86,131.41,132.48,7866688.0,132.26,49489
2021-10-27,132.69,132.83,131.39,131.43,10298255.0,131.868,55724
2021-10-28,131.67,133.04,131.66,132.53,7208307.0,132.482,47809
2021-10-29,132.36,133.99,131.85,133.82,13159827.0,133.173,77816
2021-11-01,133.94,134.49,133.15,133.66,11244879.0,133.683,62911
2021-11-02,134.18,135.17,133.01,134.5,13698256.0,134.433,73357
2021-11-03,134.28,135.34,133.74,135.29,11366674.0,134.626,62281
2021-11-04,134.98,135.19,133.43,134.36,10786387.0,134.026,64884
2021-11-05,133.15,133.7,131.89,132.86,11293384.0,132.894,70557
2021-11-08,133.14,133.82,132.58,133.65,6397216.0,133.27,41119
2021-11-09,133.64,133.81,132.9,133.16,6056381.0,133.2,37226
2021-11-10,133.12,134.08,133.1,133.54,7101099.0,133.591,46911
2021-11-11,133.52,133.61,132.83,133.15,6565179.0,133.219,37556
2021-11-12,134.01,134.12,133.07,133.81,5629128.0,133.65,35582
2021-11-15,134.11,134.19,132.85,132.98,5233429.0,133.481,34093
2021-11-16,132.93,134.27,132.72,133.54,4996698.0,133.828,33573
2021-11-17,133.69,134.25,133.11,133.73,6531262.0,133.872,36107
2021-11-18,133.87,134.12,133.32,133.78,6156704.0,133.74,38938
2021-11-19,134.18,134.63,132.85,132.97,7955689.0,133.421,47001
2021-11-22,133.11,133.62,132.2,132.37,9257553.0,132.976,59328
2021-11-23,131.75,132.65,131.35,132.51,10428543.0,132.078,63043
2021-11-24,132.24,132.7,131.8,132.46,5718259.0,132.261,36208
2021-11-26,132.94,133.72,131.5,131.97,9658473.0,132.549,65379
2021-11-29,132.69,133.22,132.19,132.33,11375897.0,132.66,70199
2021-11-30,131.57,132.17,129.54,129.73,15013383.0,130.669,100264
2021-12-01,130.37,132.09,129.48,129.5,17305930.0,130.804,103252
2021-12-02,129.21,130.66,128.84,130.13,14117466.0,130.088,101313
2021-12-03,131.05,131.54,129.29,130.37,17440077.0,130.035,115891
2021-12-06,130.75,131.68,130.5,131.11,12573335.0,131.147,82837
2021-12-07,132.0,133.12,131.82,132.8,10313765.0,132.625,62719
2021-12-08,133.18,133.89,132.51,133.8,10579288.0,133.265,65072
2021-12-09,133.67,134.55,133.57,134.11,7998314.0,134.173,49790
2021-12-10,133.76,134.86,133.7,134.58,6902280.0,134.282,45523
2021-12-13,134.62,136.23,134.58,135.85,10005556.0,135.619,61376
2021-12-14,135.22,136.01,134.63,135.3,9334394.0,135.19,64290
2021-12-15,135.59,138.14,135.47,138.07,11756401.0,136.774,76642
2021-12-16,138.09,139.59,137.81,138.89,15992837.0,138.972,101959
2021-12-17,138.25,139.04,137.38,137.92,16364304.0,138.255,107368
2021-12-20,137.11,137.53,135.38,136.56,11448594.0,136.199,73683
2021-12-21,136.95,137.19,135.68,137.13,8740671.0,136.594,56563
2021-12-22,137.11,138.81,136.82,138.73,6064866.0,137.979,39099
2021-12-23,139.09,139.75,138.68,139.3,6453254.0,139.385,36278
2021-12-27,139.89,140.77,139.65,140.77,5820330.0,140.271,34032
2021-12-28,140.9,141.15,140.03,140.4,5006226.0,140.535,33233
2021-12-29,140.27,141.49,140.16,141.2,5927434.0,140.935,37469
2021-12-30,141.46,141.98,141.31,141.49,5996031.0,141.645,37228
2021-12-31,141.32,141.86,140.84,140.89,6397965.0,141.504,39945
2022-01-03,140.29,140.55,138.24,139.44,11983779.0,138.951,69824
2022-01-04,139.1,139.29,137.01,137.6,11171069.0,137.88,62731
2022-01-05,137.9,138.73,136.56,136.62,12328414.0,137.87,75812
2022-01-06,135.77,136.6,134.8,135.04,12822827.0,135.6,80171
2022-01-07,134.72,134.97,134.07,134.35,7811700.0,134.509,48303
